Time (s),Elbow Flexion Angle Z (deg) (Smoothed),Shoulder Angle Z (deg) (Smoothed)
0.005,-115.5154466357418,-39.22099081046381
0.01,-115.73785586764939,-39.19826879295241
0.015,-115.94395015720848,-39.17922327051896
0.02,-116.13427639567679,-39.16373982472007
0.025,-116.30938147431203,-39.15170403711234
0.03,-116.46981228437191,-39.14300148925236
0.035,-116.61611571711416,-39.13751776269676
0.04,-116.74883866379648,-39.13513843900212
0.045,-116.86852801567656,-39.13574909972505
0.05,-116.97573066401215,-39.139235326422146
0.055,-117.07099350006094,-39.14548270065002
0.06,-117.15486341508065,-39.15437680396527
0.065,-117.227887300329,-39.1658032179245
0.07,-117.29061204706369,-39.17964752408432
0.075,-117.34358454654243,-39.195795304001315
0.08,-117.38735169002294,-39.2141321392321
0.085,-117.42246036876294,-39.23454361133327
0.09,-117.44945747402014,-39.25691530186145
0.095,-117.46888989705224,-39.281132792373214
0.1,-117.48130452911697,-39.307081664425176
0.105,-117.48724826147202,-39.33464749957394
0.11,-117.48726798537513,-39.36371587937611
0.115,-117.48191059208398,-39.39417238538829
0.12,-117.47172297285631,-39.425902599167074
0.125,-117.45725201894983,-39.45879210226907
0.13,-117.43904462161997,-39.49272647625013
0.135,-117.39868699177558,-39.52916786563606
0.14,-117.37084529660693,-39.563396885545906
0.145,-117.34912838342659,-39.59815652902594
0.15,-117.33177711839228,-39.632412845137296
0.155,-117.31698101882036,-39.667420417222736
0.16,-117.30397118847313,-39.702160669550075
0.165,-117.29196989739067,-39.73692059616223
0.17,-117.28132374458994,-39.772026958707244
0.175,-117.27085390382342,-39.80783656028373
0.18,-117.26018054768853,-39.84476705701072
0.185,-117.2490837391538,-39.8823499150596
0.19,-117.23927327912072,-39.91990862986628
0.195,-117.23041149289682,-39.95770949058792
0.2,-117.22249604747334,-39.99559802033945
0.205,-117.21512385331266,-40.03388873134082
0.21,-117.20855946906839,-40.07242268227969
0.215,-117.20302201635147,-40.110946213956524
0.22,-117.19855176787469,-40.149343393960585
0.225,-117.19596396294142,-40.187252293369404
0.23,-117.19359061360167,-40.22502279779759
0.235,-117.19250390722101,-40.262215692313895
0.24,-117.1922836757322,-40.298152816597565
0.245,-117.19251126865616,-40.33378693062054
0.25,-117.1939299417858,-40.36797584996185
0.255,-117.19545427982288,-40.40196875806849
0.26,-117.19770094452652,-40.434847187931005
0.265,-117.200582912408,-40.46686366622043
0.27,-117.20441122108997,-40.49737798138045
0.275,-117.2092771750187,-40.526771419510425
0.28,-117.21564660580987,-40.554099358988104
0.285,-117.22331214749828,-40.58051906951382
0.29,-117.23261034224787,-40.60424521959649
0.295,-117.24235638406083,-40.62620705112156
0.3,-117.25332637205604,-40.64576926770631
0.305,-117.26361256200369,-40.66339078121737
0.31,-117.27424039049357,-40.678430073160555
0.315,-117.28507963940069,-40.690576939454246
0.32,-117.29609721624273,-40.69973681397009
0.325,-117.30680799111873,-40.70589584135463
0.33,-117.31830843280486,-40.70888192257958
0.335,-117.32996910462074,-40.70881461188171
0.34,-117.34288464064647,-40.70652640829839
0.345,-117.35576370925503,-40.70235163876794
0.35,-117.3677951708963,-40.69537980928143
0.355,-117.37943921719408,-40.6866912002529
0.36,-117.39132451470931,-40.67587442524102
0.365,-117.4025909760108,-40.66208956488177
0.37,-117.41408310493786,-40.647738648666234
0.375,-117.42498330652789,-40.63294855376036
0.38,-117.43557185893,-40.61749616752284
0.385,-117.4461352465492,-40.60094531699394
0.39,-117.45656295725612,-40.5846902058929
0.395,-117.46792228589324,-40.57140400235488
0.4,-117.4796539898956,-40.56002671634614
0.405,-117.49191145892094,-40.54994448118793
0.41,-117.50512099934086,-40.54268494643063
0.415,-117.51905572039914,-40.5387976692556
0.42,-117.53450723685476,-40.53864992864993
0.425,-117.55187406283045,-40.539721835148384
0.43,-117.57086357561668,-40.542823567916955
0.435,-117.592036988378,-40.54873265759056
0.44,-117.61498842555665,-40.55811824276803
0.445,-117.64031350653244,-40.57109425128464
0.45,-117.66758200638522,-40.58915800131295
0.455,-117.69666619855263,-40.6125374345957
0.46,-117.7289674964303,-40.63801679992674
