Time (s),Elbow Flexion Angle Z (deg) (Smoothed),Shoulder Angle Z (deg) (Smoothed)
0.005,-112.07781601639202,-40.23273916161528
0.01,-112.35128281396737,-40.33214191582002
0.015,-112.60931769514772,-40.4160352921662
0.02,-112.85242985911346,-40.48505182440755
0.025,-113.08112850504499,-40.53982404629776
0.03,-113.29592283212271,-40.58098449159054
0.035,-113.49732203952702,-40.609165694039596
0.04,-113.6858353264383,-40.62500018739862
0.045,-113.86197189203696,-40.629120505421334
0.05,-114.02624093550341,-40.622159181861434
0.055,-114.17915165601804,-40.60474875047262
0.06,-114.32121325276124,-40.57752174500861
0.065,-114.45293492491341,-40.5411106992231
0.07,-114.57482587165495,-40.496148146869785
0.075,-114.68739529216626,-40.44326662170239
0.08,-114.79115238562774,-40.383098657474605
0.085,-114.88660635121978,-40.31627678794015
0.09,-114.97426638812279,-40.24343354685271
0.095,-115.05464169551715,-40.165201467966
0.1,-115.12824147258327,-40.08221308503372
0.105,-115.19557491850155,-39.99510093180959
0.11,-115.25715123245237,-39.904497542047295
0.115,-115.31347961361617,-39.81103544950055
0.12,-115.36506926117329,-39.71534718792306
0.125,-115.41242937430417,-39.61806529106852
0.13,-115.45606915218696,-39.5198222926899
0.135,-115.46147783641537,-39.43623514688819
0.14,-115.48893934177222,-39.34963128043596
0.145,-115.53034734648352,-39.261160239189266
0.15,-115.57966092096993,-39.171380629232075
0.155,-115.63336143513789,-39.0806811547253
0.16,-115.69002024960706,-38.98970069537174
0.165,-115.74632721012712,-38.90461467077322
0.17,-115.80333171759048,-38.820977628031606
0.175,-115.85990409748582,-38.7400577589519
0.18,-115.91549650048478,-38.66496967315154
0.185,-115.9693675281411,-38.599625486420244
0.19,-116.02145239982562,-38.54086852476766
0.195,-116.071563229063,-38.489193229744
0.2,-116.11931230605228,-38.446730354027665
0.205,-116.16539901243293,-38.4114855444057
0.21,-116.20971254161822,-38.38620886543223
0.215,-116.25162316247031,-38.368578232801816
0.22,-116.29272853292038,-38.35809936804837
0.225,-116.3315676912252,-38.357372912183
0.23,-116.36742617046595,-38.36544123762639
0.235,-116.40227461550437,-38.380009655937116
0.24,-116.43564755713383,-38.39929791161675
0.245,-116.46780128655011,-38.423503918547816
0.25,-116.49849226482822,-38.452307997915405
0.255,-116.52832453735988,-38.48518897143689
0.26,-116.5570679970079,-38.52008469500934
0.265,-116.5847827810347,-38.55847959410106
0.27,-116.61187383632475,-38.59909387755029
0.275,-116.6374577906612,-38.64122675485214
0.28,-116.66216263108792,-38.68574476885019
0.285,-116.68477474008247,-38.73227690094831
0.29,-116.70629592969038,-38.7813001291075
0.295,-116.7254424788761,-38.833418380936536
0.3,-116.7435396271694,-38.88884499535589
0.305,-116.76023445604432,-38.94682377403716
0.31,-116.77470377584773,-39.00687026659645
0.315,-116.7877976398084,-39.06955283471804
0.32,-116.79985046093685,-39.1341474416174
0.325,-116.81000462071397,-39.20107885342742
0.33,-116.81874697048406,-39.26822594396174
0.335,-116.82661161067978,-39.3367361412482
0.34,-116.83416820312806,-39.40571906951384
0.345,-116.84110625382003,-39.47469933180744
0.35,-116.8478460893769,-39.54240190717721
0.355,-116.85467410360147,-39.608533189878955
0.36,-116.86113841762895,-39.6704789327044
0.365,-116.86725905456298,-39.72845834560163
0.37,-116.87332841060729,-39.78185067158863
0.375,-116.87905064667153,-39.83116328116076
0.38,-116.88475614396476,-39.87582081360769
0.385,-116.88967292577183,-39.91657859068079
0.39,-116.89395358898054,-39.955117964166035
0.395,-116.8979395682779,-39.988599580963694
