Time (s),Elbow Flexion Angle Z (deg) (Smoothed),Shoulder Angle Z (deg) (Smoothed)
0.005,-105.37906510651338,-35.947858003611046
0.01,-106.02256910871418,-36.21528734100445
0.015,-106.61876085349145,-36.45972745925979
0.02,-107.16926423775438,-36.68200399193123
0.025,-107.67570315841215,-36.88294257257298
0.03,-108.13970151237397,-37.06336883473919
0.035,-108.56288319654902,-37.224108411984055
0.04,-108.9468721078465,-37.36598693786175
0.045,-109.29329214317558,-37.48983004592646
0.05,-109.60376719944547,-37.596463369732355
0.055,-109.87992117356536,-37.686712542833625
0.06,-110.12337796244444,-37.76140319878444
0.065,-110.3357614629919,-37.82136097113899
0.07,-110.51869557211691,-37.86741149345145
0.075,-110.6738041867287,-37.900380399275996
0.08,-110.80271120373644,-37.92109332216681
0.085,-110.90704052004932,-37.93037589567807
0.09,-110.98841603257654,-37.92905375336396
0.095,-111.04846163822728,-37.917952528778656
0.1,-111.08880123391073,-37.89789785547634
0.105,-111.11105871653609,-37.86971536701119
0.11,-111.11685798301255,-37.83423069693739
0.115,-111.1078229302493,-37.79226947880911
0.12,-111.08557745515554,-37.74465734618054
0.125,-111.05174545464044,-37.692219932605845
0.13,-111.00795082561112,-37.6357828716385
0.135,-110.88618057033922,-37.51918413101018
0.14,-110.80483136650673,-37.44826697546871
0.145,-110.75032528482879,-37.39813955468908
0.15,-110.71576343744833,-37.35848234614529
0.155,-110.69452766766871,-37.32338398604654
0.16,-110.68182223832717,-37.2922206527887
0.165,-110.67540832181719,-37.26356853156285
0.17,-110.67408634396945,-37.23582780583861
0.175,-110.67355974087535,-37.21019867720602
0.18,-110.67367550793689,-37.18647588620282
0.185,-110.67424566807644,-37.16450404312597
0.19,-110.6753626129676,-37.14389576434276
0.195,-110.67656397653187,-37.124787039343325
0.2,-110.67773274592646,-37.10719669075107
0.205,-110.67900684046991,-37.091480047112476
0.21,-110.68073845386998,-37.07736510453166
0.215,-110.68301533443352,-37.06504085709685
0.22,-110.68592339577128,-37.054712260752645
0.225,-110.68900231035599,-37.04637649776821
0.23,-110.69229597499167,-37.04021009309314
0.235,-110.69612163355696,-37.03642066864411
0.24,-110.70031547713214,-37.035247437087335
0.245,-110.70524646084635,-37.03619893315746
0.25,-110.7112193254639,-37.03967588620283
0.255,-110.71609635552122,-37.04584168384264
0.26,-110.7213261002493,-37.05400727536227
0.265,-110.72670160139315,-37.06428210151915
0.27,-110.73254848354225,-37.07688271987969
0.275,-110.73889048449355,-37.09047550567326
0.28,-110.74515970916457,-37.105291861649604
0.285,-110.75184568166674,-37.12099526150011
0.29,-110.7579932501281,-37.13801249858363
0.295,-110.76332843325797,-37.154772447846355
0.3,-110.76908471312841,-37.17100603864117
0.305,-110.77483394867168,-37.18666007157508
0.31,-110.77985723345729,-37.20136362544947
0.315,-110.78514442003006,-37.214391526421174
0.32,-110.79031081111478,-37.226706579989774
0.325,-110.79425094565914,-37.23726624838543
0.33,-110.79727250900149,-37.24585247683908
0.335,-110.7989955151851,-37.25252832000653
0.34,-110.79977054972719,-37.25709703277466
0.345,-110.79976803551398,-37.25963611859767
0.35,-110.79861682031091,-37.260608367119715
0.355,-110.79648112074806,-37.25937039117463
0.36,-110.79379623547318,-37.25614517882553
0.365,-110.79014376316353,-37.25089677908827
0.37,-110.78594865115647,-37.24479129765042
0.375,-110.7810968991349,-37.23635467167927
0.38,-110.7757026886205,-37.22545020498694
0.385,-110.77020938186382,-37.21309867494096
0.39,-110.76371584860146,-37.19953350698699
0.395,-110.75699893542112,-37.18307847063282
0.4,-110.75057591338208,-37.16541281342655
0.405,-110.7431447597886,-37.146378264512634
0.41,-110.73620263199408,-37.12565438854716
0.415,-110.72920437608795,-37.10300262746537
0.42,-110.7223068246145,-37.078342315793535
0.425,-110.71499069061375,-37.052744003260976
0.43,-110.70768386599711,-37.02579856168811
0.435,-110.69979086728819,-36.99737845704249
0.44,-110.69296061065722,-36.9664043149328
0.445,-110.68636415320633,-36.934191116445874
0.45,-110.68086346236396,-36.89981213617451
0.455,-110.67632854651083,-36.86351334344988
0.46,-110.67264617544922,-36.82481950213977
0.465,-110.66924786518167,-36.78402688622549
0.47,-110.66622870279974,-36.7412768194063
0.475,-110.66390932976752,-36.69587812634417
0.48,-110.66226077600639,-36.64861383496724
0.485,-110.66109882443331,-36.5997610455496
0.49,-110.66020383247428,-36.54945170898478
0.495,-110.65972592810498,-36.497928247524726
0.5,-110.65856918616291,-36.445996217354164
0.505,-110.65695755283033,-36.39374471901898
0.51,-110.65586341706282,-36.34139522978933
0.515,-110.65495841355198,-36.289812387595845
0.52,-110.65497157353293,-36.239267319757396
0.525,-110.65564465786103,-36.18957211941311
0.53,-110.65701497202441,-36.142307393145245
0.535,-110.65847101859401,-36.097247151690176
0.54,-110.66068669731831,-36.05426141475389
0.545,-110.66422849894464,-36.013041833336416
0.55,-110.66848238917997,-35.974694507236165
0.555,-110.67308885818267,-35.939279664317866
0.56,-110.67809633287065,-35.907338725678265
0.565,-110.68318602912652,-35.879089583002326
0.57,-110.68841430156756,-35.854150281998905
0.575,-110.69371317583426,-35.83466147364538
0.58,-110.69974588325684,-35.81995617341208
0.585,-110.70588756257007,-35.809749260458204
0.59,-110.71226714081648,-35.80381925751364
0.595,-110.7181965616414,-35.80298818093207
0.6,-110.72389671340021,-35.807578638247065
0.605,-110.72931337062914,-35.81678414007043
0.61,-110.73359527961915,-35.8327953475723
0.615,-110.73706910688591,-35.85445960950349
0.62,-110.73998253640866,-35.88132364039887
0.625,-110.74195293211415,-35.912763380823336
0.63,-110.74300643275966,-35.94832859407845
0.635,-110.74310661622928,-35.98883344130036
0.64,-110.74173822736428,-36.03388732700558
0.645,-110.7399996828899,-36.0818425128535
0.65,-110.73744999886536,-36.13344542118665
0.655,-110.73364012774708,-36.187816204216844
0.66,-110.72977512514228,-36.24370796620465
0.665,-110.724452648982,-36.30202948651089
0.67,-110.71867077396783,-36.36149607239052
0.675,-110.71228657500524,-36.42155719721781
0.68,-110.70529642800302,-36.48188474710569
0.685,-110.69823925796523,-36.54087002876552
0.69,-110.6920884504724,-36.59805326734398
0.695,-110.68472921243757,-36.653797662460505
0.7,-110.67715798772127,-36.70655581100294
0.705,-110.66898681736635,-36.756468012864815
0.71,-110.66033577204254,-36.8028687399481
0.715,-110.65113597136758,-36.84550657772472
0.72,-110.64147210582134,-36.88415799904797
0.725,-110.63170368524555,-36.918422301750184
0.73,-110.62116417132678,-36.94900659584518
0.735,-110.61004335318822,-36.97555268748938
0.74,-110.59855079390034,-36.9979263063709
0.745,-110.58712697909141,-37.01624056037439
0.75,-110.57543321479324,-37.03069351287614
0.755,-110.56444879838517,-37.04137860427119
0.76,-110.55422555437057,-37.04973508573169
0.765,-110.54600566264028,-37.05376604226525
0.77,-110.53870413825696,-37.05444607578809
0.775,-110.53284529660709,-37.05198021472669
0.78,-110.52838920473637,-37.04619714829257
0.785,-110.52464850845787,-37.038599639855235
0.79,-110.52290996398348,-37.02708229178393
0.795,-110.52210358105293,-37.012487757366394
0.8,-110.52262834945086,-36.9952394912675
0.805,-110.5241281116199,-36.976759888105484
0.81,-110.52643880948395,-36.956722075244485
0.815,-110.52964814604877,-36.93359195225189
0.82,-110.53367804480071,-36.906612163355206
0.825,-110.53823653989687,-36.879360909646174
0.83,-110.54273095653143,-36.849092887720424
0.835,-110.54694658995463,-36.81619173254137
0.84,-110.55039609050954,-36.779269797729704
0.845,-110.55239991845582,-36.74202999841376
0.85,-110.55318510045316,-36.70350547237693
0.855,-110.55272579220156,-36.66330686765202
0.86,-110.55119123875753,-36.61990963102152
0.865,-110.54862178078567,-36.5730661668434
0.87,-110.54458970757905,-36.525370191849625
0.875,-110.53916231398007,-36.4747150060017
0.88,-110.53218630093336,-36.42158454325057
0.885,-110.5237790663414,-36.36731793245531
0.89,-110.51396835715207,-36.31091400258148
0.895,-110.5027002876601,-36.253815821422215
0.9,-110.49045910439438,-36.193538062016565
0.905,-110.47690996398347,-36.130947704364075
0.91,-110.46213828172569,-36.066416267638445
0.915,-110.44596317017161,-36.00141076128496
0.92,-110.42917628938156,-35.934669154453545
0.925,-110.41197121112386,-35.864341461867085
0.93,-110.3937175473942,-35.79260595483407
0.935,-110.37492631769477,-35.718131493351365
0.94,-110.35598289881779,-35.63949088541009
0.945,-110.33658424879175,-35.55755319033205
0.95,-110.31733984914511,-35.47279040974812
0.955,-110.29796738317758,-35.385373473917184
0.96,-110.27834573829318,-35.295573254206666
0.965,-110.25852721465733,-35.20365073954042
0.97,-110.23855083920148,-35.10992758386306
0.975,-110.21852182382173,-35.014792104010745
0.98,-110.19856760062302,-34.91869788896624
0.985,-110.17961629934781,-34.82247735169472
0.99,-110.1611563342297,-34.727367906407174
0.995,-110.14342082493162,-34.63340955400962
1.0,-110.12634490022214,-34.54069936351833
1.005,-110.11006512038568,-34.44794283902175
1.01,-110.09454168837135,-34.35860478832977
1.015,-110.0805108156449,-34.27106602414485
1.02,-110.06716775011682,-34.184949122289765
1.025,-110.05409327504374,-34.10209487644049
1.03,-110.04170454596722,-34.02350853246894
1.035,-110.02972189630356,-33.949374373144835
1.04,-110.01921857799513,-33.87721130942879
1.045,-110.00710754490262,-33.810331232869856
1.05,-109.9952797345332,-33.74896139889853
1.055,-109.98302303562724,-33.69202242632837
1.06,-109.97038494642929,-33.63939519354847
1.065,-109.95723271195058,-33.590378769620415
1.07,-109.94279464993335,-33.54770133411791
1.075,-109.9274148225307,-33.51300311445269
1.08,-109.9117414437452,-33.48159861604955
1.085,-109.89540954494794,-33.45548031438926
1.09,-109.87769689007469,-33.4351836123122
1.095,-109.85924691385777,-33.423114498629
1.1,-109.84057754422312,-33.41658068132849
1.105,-109.82156268544944,-33.41587962128184
1.11,-109.80218448888779,-33.42086148723576
1.115,-109.78213794196714,-33.433720319825404
1.12,-109.7626602188024,-33.453361881355676
1.125,-109.74324304061035,-33.47615827311993
1.13,-109.72413730775118,-33.50457927699318
1.135,-109.70516197422155,-33.53654543930716
1.14,-109.6870464336657,-33.5718701171028
1.145,-109.66910833767258,-33.60883781286035
1.15,-109.65154943486617,-33.64536231624661
1.155,-109.63427296201287,-33.682862821354306
1.16,-109.61751541371055,-33.72018973023107
1.165,-109.60149697614686,-33.756071131848316
1.17,-109.58671220185977,-33.78819594781244
1.175,-109.57246737185231,-33.81653834288367
1.18,-109.55868683322176,-33.8429300935462
1.185,-109.54507424856524,-33.86449522525927
1.19,-109.53235740333658,-33.88151458470116
1.195,-109.51974984710654,-33.89681726652861
1.2,-109.5068078099143,-33.909484189901725
1.205,-109.49356948062034,-33.91926775238332
1.21,-109.47963018414701,-33.92650151758752
1.215,-109.46538700763114,-33.93120932297382
1.22,-109.45069358309152,-33.9336295567277
1.225,-109.43550211782616,-33.93405295929628
1.23,-109.41973374255153,-33.93276362091942
1.235,-109.40337305488023,-33.93005707263973
1.24,-109.38543668033043,-33.9258070397964
1.245,-109.3661859838254,-33.91919939069903
1.25,-109.34562830414976,-33.91009605880023
1.255,-109.32323416158705,-33.89980079276929
1.26,-109.29892946612397,-33.89028823755852
1.265,-109.27301089492191,-33.87879906226576
1.27,-109.24514498629429,-33.86564276653993
1.275,-109.21466887132001,-33.85393419329932
1.28,-109.18287440258912,-33.84208152619473
1.285,-109.14883023397827,-33.82935876010717
1.29,-109.11241624951657,-33.816170397969856
