Time (s),Elbow Flexion Angle Z (deg) (Smoothed),Shoulder Angle Z (deg) (Smoothed)
0.005,-120.14326145371857,-38.15997910899884
0.01,-120.32921424311688,-38.23122057157129
0.015,-120.50223047935498,-38.300439245552745
0.02,-120.6627273316163,-38.36746723567736
0.025,-120.81112196908425,-38.432136646679304
0.03,-120.9478315609423,-38.49427958329275
0.035,-121.07327327637384,-38.55372815025187
0.04,-121.18786428456232,-38.61031445229083
0.045,-121.29202175469116,-38.6638705941438
0.05,-121.38616285594381,-38.71422868054495
0.055,-121.47070475750365,-38.761220816228445
0.06,-121.54606462855416,-38.80467910592846
0.065,-121.61265963827874,-38.844435654379154
0.07,-121.67090695586084,-38.88032256631471
0.075,-121.72122375048387,-38.912171946469286
0.08,-121.76402719133127,-38.939815899577056
0.085,-121.79973444758645,-38.96308653037219
0.09,-121.82876268843286,-38.981815943588856
0.095,-121.85152908305392,-38.99583624396122
0.1,-121.86845080063307,-39.00497953622345
0.105,-121.87994501035372,-39.00907792510973
0.11,-121.88642888139933,-39.00796351535421
0.115,-121.88831958295329,-39.00146841169107
0.12,-121.88603428419904,-38.98942471885448
0.125,-121.87999015432003,-38.9716645415786
0.13,-121.87060436249737,-38.94801998459686
0.135,-121.83182740265683,-38.918574060566876
0.14,-121.80958640059563,-38.877752386236764
0.145,-121.7965187886452,-38.82800498538965
0.15,-121.78944854922868,-38.77000796846966
0.155,-121.78552021563111,-38.704725996058066
0.16,-121.78170123898383,-38.633240605675496
0.165,-121.77896482366297,-38.554754105415014
0.17,-121.77507979795459,-38.468916297084135
0.175,-121.77008020566483,-38.37621331853423
0.18,-121.76417207637537,-38.277815504314205
0.185,-121.75688368932246,-38.17328200638673
0.19,-121.74854397607864,-38.06369309384058
0.195,-121.73815814627505,-37.947503750933606
0.2,-121.72820709415608,-37.825254451968746
0.205,-121.71805780425144,-37.698097979568466
0.21,-121.70723644929437,-37.566648531109834
0.215,-121.69490194568161,-37.431510661622426
0.22,-121.68099812000037,-37.29152315567665
0.225,-121.66586491200022,-37.14704834764023
0.23,-121.65032940723225,-36.99907312283333
0.235,-121.6331919182744,-36.847863586943504
0.24,-121.61567118167787,-36.69341452127951
0.245,-121.5972315114702,-36.53585424131847
0.25,-121.57752741851226,-36.37550626514687
0.255,-121.55649178916617,-36.21304758431605
0.26,-121.53544750730251,-36.048283807107055
0.265,-121.51405757774575,-35.88131893814061
0.27,-121.49159161022665,-35.71252640150332
0.275,-121.46873858977318,-35.542502493827044
0.28,-121.44534603275036,-35.37202323495368
0.285,-121.42224895240884,-35.20158376633604
0.29,-121.39963496341697,-35.03199663412468
0.295,-121.3766919522503,-34.86337296654444
0.3,-121.35402126888258,-34.697634709732284
0.305,-121.33079927064934,-34.53312531880611
0.31,-121.30828526127199,-34.37170027407124
0.315,-121.28571627896206,-34.21323591021249
0.32,-121.26369974404622,-34.05970870461327
0.325,-121.2420603864164,-33.910453376066755
0.33,-121.22133873926695,-33.76717949670369
0.335,-121.20050420167834,-33.630114011641744
0.34,-121.18009200661166,-33.498759285600386
0.345,-121.16032727807873,-33.3750402998929
0.35,-121.14067793154766,-33.25796955536868
0.355,-121.12247699834418,-33.148653638813386
0.36,-121.10483234048104,-33.04808068132849
0.365,-121.0874040635099,-32.95450275430864
0.37,-121.07061383043552,-32.86902506738482
0.375,-121.05391068880151,-32.792152596887185
0.38,-121.03742225191732,-32.723001105347166
0.385,-121.02067143083417,-32.66175859928815
0.39,-121.00477695983824,-32.60827355998941
0.395,-120.9888246845885,-32.56264493646453
0.4,-120.97337735848825,-32.522704240186016
0.405,-120.95795157307975,-32.48975922897399
0.41,-120.94307617386346,-32.462358354662
0.415,-120.92763908582072,-32.43808470406969
0.42,-120.91281089039157,-32.4165823348201
0.425,-120.89758565312687,-32.39763872567833
0.43,-120.88228111621777,-32.37967104124606
0.435,-120.86649366916345,-32.36006670592703
0.44,-120.85057591338193,-32.33790010872212
0.445,-120.83417243878452,-32.310163002558895
0.45,-120.8181646922897,-32.27738258624142
0.455,-120.80073745724475,-32.23874617998081
0.46,-120.78254578812425,-32.1913591338416
0.465,-120.76418745611221,-32.1341159210848
0.47,-120.74538549004276,-32.06470119594946
0.475,-120.72735155948942,-31.984084343925637
0.48,-120.70921042378987,-31.89137904822245
0.485,-120.69059913021582,-31.786355591292512
0.49,-120.67317957371397,-31.667219873609216
0.495,-120.65533762938905,-31.535606652471703
0.5,-120.63781111689725,-31.391996770028168
0.505,-120.62212611836955,-31.23547104804125
0.51,-120.60673231556544,-31.067442496998208
0.515,-120.59187739246408,-30.890195646559917
0.52,-120.57749330675438,-30.70563965661678
0.525,-120.56355192642863,-30.515826483045462
0.53,-120.54991053024752,-30.32289966477099
0.535,-120.53650492649659,-30.129196683956025
0.54,-120.5231181227185,-29.937212559740306
0.545,-120.50933762938907,-29.748900258215926
0.55,-120.49433839950844,-29.568058771432533
0.555,-120.47912716029577,-29.394241026976268
0.56,-120.46418630093318,-29.232732471856107
0.565,-120.44963303811859,-29.08399366690017
0.57,-120.43536431176011,-28.952026859044953
0.575,-120.42144666923143,-28.83645486420928
0.58,-120.40739004280725,-28.740055727195987
0.585,-120.39421085415066,-28.662607073772357
0.59,-120.38283637228247,-28.606126831864277
0.595,-120.37324150037144,-28.572902410020063
0.6,-120.36603329633508,-28.562794369067838
0.605,-120.36171935943959,-28.577586812837794
0.61,-120.35994357742867,-28.616813723979607
0.615,-120.3607350109832,-28.679917511154855
0.62,-120.3646613286801,-28.767029463860467
0.625,-120.3713415026365,-28.877851804117316
0.63,-120.3804445400779,-29.011012525764464
0.635,-120.39230818364852,-29.164897408774273
0.64,-120.40654026138526,-29.33864924007283
0.645,-120.4227485333733,-29.530240986205236
0.65,-120.44235604430222,-29.73675117443147
0.655,-120.46386509320476,-29.95902193707614
0.66,-120.48736184284803,-30.1926068699172
0.665,-120.51249015832516,-30.431736995174845
0.67,-120.54020512355653,-30.67627634827457
0.675,-120.56791888830773,-30.925255994472664
0.68,-120.59625656300024,-31.17600306235642
0.685,-120.62516562096303,-31.425474110398277
0.69,-120.65337876282356,-31.672602299032214
0.695,-120.68085465129218,-31.91503723074074
0.7,-120.70686989512554,-32.15100374413855
0.705,-120.73188171872292,-32.37804875761563
0.71,-120.75512145235221,-32.59418445264836
0.715,-120.7752922829486,-32.80317840494625
0.72,-120.79182801422223,-33.0016759971907
0.725,-120.8049112097646,-33.187608151939386
0.73,-120.81443101768778,-33.35790404312605
0.735,-120.81981315544854,-33.5130703277531
0.74,-120.82144050827644,-33.65212625427465
0.745,-120.81737183174926,-33.77742328705003
0.75,-120.80950648938588,-33.886434451515804
0.755,-120.79694946657678,-33.98041357448575
0.76,-120.77754431583723,-34.061745133524454
0.765,-120.75281347255654,-34.13092654420193
0.77,-120.72242057577517,-34.188728134271926
0.775,-120.68625968877886,-34.23652166526923
0.78,-120.64435407370264,-34.275522333461026
0.785,-120.59678250922778,-34.30703591021249
0.79,-120.54372393485464,-34.332409973045166
0.795,-120.48546435932633,-34.35401953158557
0.8,-120.42206147364375,-34.37170414278853
0.805,-120.35529581643748,-34.385688316835505
0.81,-120.28423484110394,-34.40019553557206
0.815,-120.21060440779857,-34.413841291987836
0.82,-120.13391868445262,-34.42806564588034
0.825,-120.05543217286684,-34.44177355545925
0.83,-119.97538365534665,-34.456728931571966
0.835,-119.89504958209467,-34.47325687104965
0.84,-119.81448250243265,-34.49346711137219
0.845,-119.73380244172913,-34.515985177466554
0.85,-119.65402575369541,-34.539427441164484
0.855,-119.57492208203809,-34.56347619651568
0.86,-119.49680683593962,-34.58688288975902
0.865,-119.41975956420075,-34.60928443226281
0.87,-119.34453917415796,-34.62959793200232
0.875,-119.27097805159572,-34.64687783641692
0.88,-119.19932990554484,-34.66020219257448
0.885,-119.12974189675643,-34.66869655258263
0.89,-119.06235713152958,-34.671717828262715
0.895,-118.99740678157828,-34.66862268680991
0.9,-118.93500539083328,-34.65785143717798
0.905,-118.87371840811568,-34.64034603728217
0.91,-118.81435545538741,-34.61490620852048
0.915,-118.75687016693242,-34.58153314910804
0.92,-118.70070746789054,-34.54461874334573
0.925,-118.64464381978979,-34.50345829350542
0.93,-118.58998654555936,-34.45736048834562
0.935,-118.53643459647783,-34.40764027271219
0.94,-118.48319386622344,-34.35586882602032
0.945,-118.43055421413621,-34.30133941878572
0.95,-118.37822369702371,-34.24467318625498
0.955,-118.32608745384718,-34.1867569843025
0.96,-118.27290036014179,-34.12885230695987
0.965,-118.21985170671815,-34.07150960157582
0.97,-118.16768182744569,-34.009350392986725
0.975,-118.11619484019799,-33.944698566218285
0.98,-118.0648450927518,-33.87943911073799
0.985,-118.01372622256225,-33.813565494121534
0.99,-117.96284260118915,-33.74802026093391
0.995,-117.91268413780378,-33.6809583795776
1.0,-117.86314104509502,-33.612939631701096
1.005,-117.8140765589232,-33.54515179505701
1.01,-117.76564590364222,-33.47743905411157
1.015,-117.71798423520126,-33.4099484790136
1.02,-117.671137624859,-33.342849022627284
1.025,-117.6251762893814,-33.27643638813952
1.03,-117.58007762349997,-33.21098393168524
1.035,-117.53580656413284,-33.146792480010234
1.04,-117.49226276925639,-33.084113563160486
1.045,-117.44935121973091,-33.02310695598931
1.05,-117.40692316926545,-32.96256517927863
1.055,-117.3651206822329,-32.9036825024343
1.06,-117.32384676889399,-32.846347790436305
1.065,-117.28376654057624,-32.78688112754473
1.07,-117.2436136718816,-32.72924939409663
1.075,-117.20359423769283,-32.668628401548666
1.08,-117.16386960066822,-32.60695943056405
1.085,-117.12326125166824,-32.54567511381849
1.09,-117.08182133230427,-32.48780369883741
1.095,-117.04116254048563,-32.425512321909274
1.1,-116.99987342861448,-32.361049249132996
1.105,-116.95789304400782,-32.29557372760363
1.11,-116.91584303155,-32.228908006975765
1.115,-116.872702235609,-32.16512656458748
1.12,-116.82835552333917,-32.102500597974434
1.125,-116.78319291489956,-32.041043448322114
1.13,-116.7375896396272,-31.980609030781515
1.135,-116.69177077623279,-31.92167033681336
1.14,-116.6459436000793,-31.865023037893792
1.145,-116.60018901900159,-31.81137812407921
1.15,-116.55495993114003,-31.761399578698796
1.155,-116.5100818818071,-31.717443665767586
1.16,-116.46563032005032,-31.679707646831716
1.165,-116.42190883145487,-31.648386864934047
1.17,-116.37896008969403,-31.624234807129795
1.175,-116.33699293302004,-31.607656187002505
1.18,-116.29615771591432,-31.598718693514535
1.185,-116.2566106820064,-31.597464873495962
1.19,-116.21840118688762,-31.60283671657282
1.195,-116.18164748918213,-31.614007248181686
1.2,-116.14680670003628,-31.630524838614086
1.205,-116.11392357697572,-31.651668658406155
1.21,-116.08324338036878,-31.676452624067892
1.215,-116.05505159799546,-31.703906688712614
1.22,-116.02949079254121,-31.733016399011827
1.225,-116.00671906498226,-31.76341713062523
1.23,-115.98702702212736,-31.79302269587019
1.235,-115.97114682099034,-31.8196575233861
1.24,-115.95887184307465,-31.84433473011785
1.245,-115.95061253935314,-31.864979166005416
1.25,-115.9462017033206,-31.88256881016497
1.255,-115.94599861831303,-31.89538637568173
1.26,-115.94981489954252,-31.902783138915332
1.265,-115.95775709528871,-31.904363894991345
1.27,-115.96988146956673,-31.89950307594675
1.275,-115.98598067906187,-31.887585474189066
1.28,-116.00602749778936,-31.868126741261932
1.285,-116.02995324922198,-31.840699075856147
1.29,-116.05764735327872,-31.804904004620106
1.295,-116.08920815873296,-31.76063743233082
1.3,-116.12448368026233,-31.70754465786254
1.305,-116.1635972728692,-31.645533454890785
1.31,-116.20648703254662,-31.57502839475352
1.315,-116.25285057418971,-31.496260533646815
1.32,-116.30194477790894,-31.412167351468288
1.325,-116.35321696980458,-31.319695173163005
1.33,-116.40661299236451,-31.223247328364707
1.335,-116.461771659605,-31.123310679743
1.34,-116.51938329293756,-31.019390917120976
1.345,-116.57977623502008,-30.90804141883109
1.35,-116.64141602301073,-30.796282164940855
1.355,-116.7051023352715,-30.68482252599094
1.36,-116.77080762870962,-30.57414076422963
1.365,-116.83744107454078,-30.465692509456026
1.37,-116.9076447937643,-30.35605840675835
1.375,-116.97913930100118,-30.24868185009795
1.38,-117.05262232439921,-30.144122106955415
1.385,-117.12749203832252,-30.043727407188715
1.39,-117.20424723096562,-29.947830646220176
1.395,-117.2802930757186,-29.85848975514677
1.4,-117.35673261002287,-29.77504116061462
1.405,-117.43404693197807,-29.69754016625461
1.41,-117.509837504811,-29.627391286325285
1.415,-117.58551244648575,-29.564153935535916
1.42,-117.66082690434438,-29.507896432534714
1.425,-117.7355037033659,-29.45860451652303
1.43,-117.80926530612018,-29.41618953770131
1.435,-117.88189218328615,-29.380467981154162
1.44,-117.95320149946545,-29.351136872861794
1.445,-118.02263779473826,-29.327386199007343
1.45,-118.09059240299666,-29.309185646333447
1.455,-118.15719404742802,-29.2961957122466
1.46,-118.22302742983759,-29.28700309633231
1.465,-118.28916675349159,-29.281816308409596
1.47,-118.35511320754492,-29.279666169108587
1.475,-118.4205634102675,-29.279513178100864
1.48,-118.4853576298421,-29.280358107770844
1.485,-118.5494493193481,-29.28090955627478
1.49,-118.61466556433668,-29.27993799859511
1.495,-118.67960250515073,-29.278292815238743
1.5,-118.74398344243131,-29.27495049264933
1.505,-118.80854565222089,-29.26801788941936
1.51,-118.87295843620241,-29.257748947880476
1.515,-118.93756089605425,-29.243412761330386
1.52,-119.00277297333801,-29.22363466216619
1.525,-119.06795827764842,-29.20122434483171
1.53,-119.13361797548978,-29.174841731408986
1.535,-119.20044064417992,-29.14319601349918
1.54,-119.2682623615461,-29.107112018391707
1.545,-119.33603574259665,-29.06795060816724
1.55,-119.40410870008151,-29.025229989353672
1.555,-119.47255502955669,-28.979518251828477
1.56,-119.54119819248226,-28.93078680377756
1.565,-119.60979686968898,-28.879239695122777
1.57,-119.67842723504265,-28.82464275068463
1.575,-119.74694400778951,-28.76664695689541
1.58,-119.81646365715868,-28.705062196198686
1.585,-119.88612240367617,-28.64277711839398
1.59,-119.95608484903165,-28.579389327051025
1.595,-120.0270882466171,-28.512890926181242
1.6,-120.09827447960086,-28.445143557044915
1.605,-120.16879254343016,-28.378666801059506
1.61,-120.2386122901968,-28.312956997892954
1.615,-120.3076259484903,-28.248145749620054
1.62,-120.37595777933583,-28.183696720196973
1.625,-120.44151231058233,-28.12067555323962
1.63,-120.50653609368044,-28.05776408072609
1.635,-120.56984862624063,-27.99583180139927
1.64,-120.63138576184961,-27.93509748805129
1.645,-120.68997381593914,-27.87650144284076
1.65,-120.74789641894262,-27.818900600239555
1.655,-120.80390430134085,-27.763225268974985
1.66,-120.85683245373389,-27.710331858025697
1.665,-120.91015144170643,-27.654910489478283
1.67,-120.96106595845654,-27.603818396792146
1.675,-121.01093299961262,-27.550734234070454
1.68,-121.05866277831655,-27.49934917665127
1.685,-121.10418555346435,-27.450613502004046
1.69,-121.14772384425235,-27.404033581734055
1.695,-121.18961971958363,-27.358870984619738
1.7,-121.23069516863117,-27.31589262950411
1.705,-121.27096106366842,-27.27350357425937
1.71,-121.31091882035601,-27.231116897324448
1.715,-121.35033124192842,-27.18875939432325
1.72,-121.38839840086747,-27.14492559287814
1.725,-121.42565625495247,-27.099602468911574
1.73,-121.46268683322154,-27.05224420711629
1.735,-121.49993315816661,-27.00357398582023
1.74,-121.53804756619395,-26.953053013657772
1.745,-121.57485501370125,-26.903416734240352
1.75,-121.61196774558648,-26.85190958119045
1.755,-121.6497002650093,-26.7995865455611
1.76,-121.68772742304235,-26.747300022650055
1.765,-121.72645425717224,-26.695016294819304
1.77,-121.76576452467545,-26.644609479262893
1.775,-121.80520686765038,-26.596999474506276
1.78,-121.84559333166996,-26.549774832951538
1.785,-121.88663972003663,-26.504226082130455
1.79,-121.92766828240497,-26.461915030917517
1.795,-121.96855555051975,-26.423092224058927
1.8,-122.0107622596185,-26.385714256268038
1.805,-122.054116831636,-26.348939622641
1.81,-122.09824428639145,-26.314231959953286
1.815,-122.14252320550628,-26.282729796823883
1.82,-122.18723108110936,-26.253202124622927
1.825,-122.231790391626,-26.226237907992886
1.83,-122.27607764615044,-26.202147104124165
1.835,-122.3198301886769,-26.180840236471447
1.84,-122.36382230627865,-26.158627789983417
1.845,-122.40706403315808,-26.135967958503656
1.85,-122.44882044893194,-26.115368049105932
1.855,-122.48916371831517,-26.096396973883394
1.86,-122.52920711680663,-26.074366520192484
1.865,-122.56951525515632,-26.048122901990485
1.87,-122.60866040000671,-26.01944798070122
1.875,-122.64789646424371,-25.98661335704043
1.88,-122.686585222766,-25.949669206550045
1.885,-122.72457498470851,-25.90867974586011
1.89,-122.76181696074421,-25.86368556026134
1.895,-122.7982948877641,-25.81464313574437
1.9,-122.83396643185343,-25.76156336270308
1.905,-122.86888729076301,-25.704454463294258
1.91,-122.90225669890361,-25.64501801626262
1.915,-122.93488670184817,-25.580880013136845
1.92,-122.9655752112142,-25.517923792157884
1.925,-122.99563152053038,-25.450533907902294
1.93,-123.02353471199562,-25.385806439556465
1.935,-123.05021441029005,-25.321344766585394
1.94,-123.07588744931701,-25.25650156968399
1.945,-123.10054621848502,-25.19177121565559
1.95,-123.1242456680762,-25.127565797639324
1.955,-123.14721585992652,-25.063524107000813
1.96,-123.16947908219656,-25.002259509841192
1.965,-123.19076971165589,-24.94260021744499
1.97,-123.21150069084003,-24.88546376814829
1.975,-123.23196147137863,-24.832107628711384
1.98,-123.25161593693844,-24.78357843665721
1.985,-123.26970334548679,-24.740653097464925
1.99,-123.28688375727413,-24.702893453984892
1.995,-123.30355040884042,-24.671856137171375
2.0,-123.32046313619553,-24.646660803188727
2.005,-123.33711689958766,-24.628860377358016
2.01,-123.35308548324754,-24.618791422228796
2.015,-123.3686302973996,-24.616714530339962
2.02,-123.38352202767663,-24.622476522684074
2.025,-123.39757901650992,-24.635437701872725
2.03,-123.4110761059117,-24.655311610681537
2.035,-123.42402090647343,-24.68120721873608
2.04,-123.43679666583378,-24.712228908921592
2.045,-123.44975471697877,-24.74760099888965
2.05,-123.46249776891652,-24.786946610341772
2.055,-123.47513517859738,-24.829922700400438
2.06,-123.4867611723911,-24.87834399873109
2.065,-123.49805096377938,-24.92945462411332
2.07,-123.50897372533684,-24.98223282067496
2.075,-123.51935398310032,-25.03606880563498
2.08,-123.52941432421788,-25.089736603320098
2.085,-123.5396171600692,-25.1407264445396
2.09,-123.54989245509289,-25.188394806223897
2.095,-123.55991166277595,-25.233538410835546
2.1,-123.57023982422922,-25.275189528641164
2.105,-123.58080019932265,-25.31211280210149
2.11,-123.59173270062503,-25.34311528686898
2.115,-123.60260264105406,-25.36971462547234
2.12,-123.61292407528815,-25.392671847606483
2.125,-123.62408407891222,-25.41038734286119
2.13,-123.63489150376897,-25.424714319689652
2.135,-123.64571824956163,-25.436192615913804
2.14,-123.65639475412571,-25.445338025775857
2.145,-123.66699026025266,-25.452739806110632
2.15,-123.67705252666869,-25.459406752134328
2.155,-123.68613549570534,-25.466503694307423
2.16,-123.69450046433428,-25.47255232508049
2.165,-123.70266221205225,-25.476686063103994
2.17,-123.7096062651452,-25.481716127205107
2.175,-123.71515064893643,-25.487513184896113
2.18,-123.71905103173108,-25.49426950553758
2.185,-123.7213580828534,-25.501995275090678
2.19,-123.72218990237367,-25.510565897301827
2.195,-123.72180592991675,-25.519786919295527
2.2,-123.72042492468448,-25.52945966613011
2.205,-123.71821409318208,-25.539852553851244
2.21,-123.71515989036887,-25.550989589797698
