Time (s),Elbow Flexion Angle Z (deg) (Smoothed),Shoulder Angle Z (deg) (Smoothed)
0.005,87.45723035689998,3.3806467243107505
0.01,87.4583148537079,3.385223871545068
0.015,87.4596290030464,3.3893651179683593
0.02,87.46116106863865,3.39307904540826
0.025,87.4628993142078,3.396374235692405
0.03,87.46483200347703,3.3992592706484293
0.035,87.4669474001695,3.4017427321039677
0.04,87.46923376800837,3.403833201886656
0.045,87.4716793707168,3.405539261824129
0.05,87.47427247201796,3.4068694937440216
0.055,87.477001335635,3.4078324794739694
0.06,87.4798542252911,3.408436800841607
0.065,87.48281940470943,3.408691039674569
0.07,87.48588513761314,3.4086037778004923
0.075,87.4890396877254,3.4081835970470102
0.08,87.49227131876937,3.4074390792417586
0.085,87.49556829446821,3.4063788062123725
0.09,87.49891887854508,3.4050113597864873
0.095,87.50231133472317,3.4033453217917375
0.1,87.50573392672563,3.4013892740557585
0.105,87.5091749182756,3.3991517984061854
0.11,87.51262257309628,3.3966414766706534
0.115,87.51606515491082,3.3938668906767977
0.12,87.51949092744238,3.390836622252253
0.125,87.52288815441412,3.3875592532246546
0.13,87.52624509954758,3.384043365421575
0.135,87.52933109923048,3.3804774185145106
0.14,87.53238094860417,3.376338165303792
0.145,87.53527844118611,3.3719459663864897
0.15,87.53810737049368,3.3669888294184953
0.155,87.5408660671799,3.3625342986250457
0.16,87.54353521483897,3.3576934476431433
0.165,87.54601921447659,3.352652232666587
0.17,87.54837540827486,3.34728308047741
0.175,87.5505022809107,3.3416905796280134
0.18,87.55246302294337,3.3358481422002124
0.185,87.55415015741978,3.329753780833024
0.19,87.55563267797518,3.3235108022831135
0.195,87.55745254931993,3.3170600652335764
0.2,87.55913997145859,3.310603016602804
0.205,87.56064662166587,3.303876015991239
0.21,87.56197711839285,3.297295422999325
0.215,87.56350860494973,3.2905050195926795
0.22,87.56488293052902,3.284023293619271
0.225,87.56612631996028,3.27748898661345
0.23,87.56755779519187,3.2711512482728313
0.235,87.5688977847726,3.264905897302255
0.24,87.57042004348742,3.2589332625879917
0.245,87.5718907902767,3.2532063885931106
0.25,87.57342830868028,3.247890409522237
0.255,87.5749184443572,3.2429799526602467
0.26,87.57625812589018,3.2387803325103004
0.265,87.57761768329806,3.2351064955038003
0.27,87.5789363609578,3.2319784973611467
0.275,87.58022578993693,3.229445991981636
0.28,87.5815246279627,3.227384141656601
0.285,87.58276970712645,3.22593456907285
0.29,87.58402929171501,3.2248965317447116
0.295,87.58521041926036,3.224463152959235
0.3,87.58638399510579,3.224364899771168
0.305,87.58735261727165,3.224806488935135
0.31,87.58850226279023,3.225179164193918
0.315,87.58939537928211,3.2261259339961783
0.32,87.59011132301809,3.2274040718928463
0.325,87.59058239144548,3.2291902631995573
0.33,87.59097560759987,3.231130884504683
0.335,87.59111093569337,3.2335234888671827
0.34,87.59103038573753,3.2361365111326927
0.345,87.59070537950862,3.2391072096762614
0.35,87.59025185168238,3.242135875331202
0.355,87.58955632516991,3.245432210695537
0.36,87.588715334434,3.248545551428056
0.365,87.58761753380429,3.2520260766947664
0.37,87.58643434732215,3.255192565176952
0.375,87.58506829146586,3.2584361845114773
0.38,87.58366572062619,3.26129247683973
0.385,87.58213281161353,3.264325164103315
0.39,87.58058141973603,3.2668891836734066
0.395,87.5789107952598,3.269325799451793
0.4,87.57723694081238,3.2712826195383187
0.405,87.57565432738967,3.2730071077486973
0.41,87.57403814808772,3.274268626695899
0.415,87.57232782169302,3.275275230469483
0.42,87.57086402183347,3.2755768846405857
0.425,87.56928742213698,3.275630613603869
0.43,87.56770014949207,3.275352138440219
0.435,87.56622342068735,3.274507868354826
0.44,87.5647443928498,3.273482242859345
0.445,87.56319740197797,3.2722130988243725
0.45,87.56192105596787,3.270485646786954
0.455,87.56056572742136,3.268613920813545
0.46,87.55917748533207,3.2669560957212442
0.465,87.55774945751719,3.2651903463271474
0.47,87.55665488006355,3.2632552818862766
0.475,87.55547287141103,3.26138009988895
0.48,87.55416524722929,3.260035975220215
0.485,87.55279970554089,3.258811729823943
0.49,87.55189298964702,3.2574423157941794
0.495,87.55083243108398,3.256395038166147
0.5,87.5495351672728,3.256010701035068
0.505,87.54848270855345,3.2555530829689747
0.51,87.5471343292017,3.255783811184789
0.515,87.54582877528202,3.2561652451923546
0.52,87.54472685677875,3.256635729008523
0.525,87.54346353031609,3.2574498405399273
0.53,87.54194664658148,3.2587482060748205
0.535,87.54022041042664,3.2603740351989225
0.54,87.53846681917882,3.2622348114339452
0.545,87.53643986726598,3.2644068262021166
0.55,87.53417241839963,3.2669743722393996
0.555,87.53162759971745,3.2697790128881112
0.56,87.52901305352162,3.272905807832504
0.565,87.52588229857814,3.2766144721284114
0.57,87.52256114521111,3.2807498452965462
0.575,87.51906736732259,3.284968323404771
0.58,87.51545505447295,3.289511438537616
0.585,87.51158977553116,3.2941496167522986
0.59,87.50759943373407,3.2990803565199034
0.595,87.50353330992606,3.303852729620087
0.6,87.49941540012063,3.3088025873745086
0.605,87.4951978595195,3.313545189698458
0.61,87.49097351015709,3.318382513080641
0.615,87.48675570680933,3.3230617060408427
0.62,87.4826587669013,3.3275447844797656
0.625,87.47862053726983,3.331761999592226
0.63,87.47474260118976,3.335889521166893
0.635,87.4709618360535,3.339681754286556
0.64,87.46739506217415,3.3430959820153836
0.645,87.46395321751176,3.346066546241074
0.65,87.46080057758785,3.348794237015497
0.655,87.45780141792397,3.3510074914493457
0.66,87.45492797571693,3.352970571020797
0.665,87.45219366463398,3.3543547960315556
0.67,87.4497983850127,3.35541247253612
0.675,87.4472641260261,3.356145894584184
0.68,87.4450325284814,3.356559622641445
0.685,87.4429328025533,3.356313455797349
0.69,87.44092063693235,3.3560201315997458
0.695,87.43902819089732,3.355068858184719
0.7,87.43741319848527,3.3537110034201714
0.705,87.43564311762275,3.3521596758702836
0.71,87.4341010328643,3.350228157376094
0.715,87.43269344718853,3.3476527375477856
0.72,87.43151396180947,3.344661220412629
0.725,87.43005797866148,3.341632874583732
0.73,87.42875473963001,3.338292204353375
0.735,87.42759908038518,3.334380783936152
0.74,87.42661558585529,3.3301583261228385
0.745,87.42513136197707,3.3261940154929257
0.75,87.42369879725307,3.3220741276132455
0.755,87.4223981381215,3.3175201766743796
0.76,87.42069686289442,3.3133458687625357
0.765,87.41910950870746,3.3088378511403924
0.77,87.41747547849161,3.304290446669171
0.775,87.41545134204458,3.299912972207688
0.78,87.41326518154264,3.2955906401050354
0.785,87.41119614940149,3.2910180590726226
0.79,87.40892908106471,3.2865017511154777
0.795,87.40662304468788,3.2819515255158036
0.8,87.40403236313226,3.2774980846677666
0.805,87.40168593399457,3.2728286790187147
0.81,87.3989925275754,3.268264333733431
0.815,87.39661448277256,3.263557242519587
0.82,87.39380244172973,3.2589778010826347
0.825,87.39156085301879,3.2541873623411
0.83,87.38878691929435,3.249534190581831
0.835,87.3861536886436,3.244454283449166
0.84,87.38336798568315,3.2395947403111567
0.845,87.3807749575285,3.2345368497587095
0.85,87.3782707422575,3.229679594554741
0.855,87.3760511721653,3.2247431239665056
0.86,87.37414907019243,3.2200109443021874
0.865,87.37272850121013,3.215229094430163
0.87,87.37191222904089,3.2106423805748094
0.875,87.37184088427657,3.206016177263296
0.88,87.37273080477307,3.2015551362431154
0.885,87.37471209087239,3.1970191671384915
0.89,87.37807230061668,3.1926034372238847
0.895,87.38289992298638,3.1880698876531133
0.9,87.3895220978941,3.183624088201258
0.905,87.3979793698595,3.1790275449046934
0.91,87.40857485333588,3.1745345801716307
0.915,87.42125571586956,3.169916998572954
0.92,87.43627673559823,3.165489990939712
