Time (s),Elbow Flexion Angle Z (deg) (Smoothed),Shoulder Angle Z (deg) (Smoothed)
0.005,-105.74361255142263,-14.500673418582057
0.01,-106.06225216932108,-14.514066699172476
0.015,-106.35766623420201,-14.521800474873373
0.02,-106.63066313097396,-14.524194452416335
0.025,-106.88205124454548,-14.521568338532951
0.03,-107.1126389598251,-14.514241839954808
0.035,-107.32323466172143,-14.502534663413496
0.04,-107.51464673514296,-14.486766515640598
0.045,-107.68768356499828,-14.467257103367707
0.05,-107.84315353619593,-14.44432613332641
0.055,-107.98186503364444,-14.418293312248293
0.06,-108.1046264422524,-14.389478346864946
0.065,-108.21224614692834,-14.358200943907956
0.07,-108.30553253258081,-14.324780810108912
0.075,-108.38529398411836,-14.2895376521994
0.08,-108.45233888644955,-14.25279117691101
0.085,-108.50747562448295,-14.21486109097533
0.09,-108.55151258312706,-14.176067101123945
0.095,-108.58525814729049,-14.136728914088447
0.1,-108.60952070188173,-14.09716623660042
0.105,-108.6251086318094,-14.057698775391456
0.11,-108.63283032198198,-14.018646237193142
0.115,-108.63349415730809,-13.980328328737063
0.12,-108.62790852269623,-13.943064756754811
0.125,-108.61688180305498,-13.907175227977971
0.13,-108.60122238329083,-13.87297944913788
0.135,-108.54328838705085,-13.844644322634448
0.14,-108.5111072277947,-13.816304052186648
0.145,-108.49386092550021,-13.792086106140305
0.15,-108.48630272486145,-13.772296912727091
0.155,-108.48582497904617,-13.75793231783253
0.16,-108.48978210151778,-13.748875840902135
0.165,-108.4969563976513,-13.745580894244226
0.17,-108.50592518516633,-13.747900441685843
0.175,-108.51605775895058,-13.7559134816188
0.18,-108.52627767333139,-13.769926709551482
0.185,-108.53701039660939,-13.788865007134666
0.19,-108.54732431085434,-13.813210471358092
0.195,-108.55753607103011,-13.842133656481195
0.2,-108.5676194704276,-13.875154254909242
0.205,-108.5783291807268,-13.91111883168335
0.21,-108.58875154589929,-13.951805809870852
0.215,-108.59905889147905,-13.99487018052477
0.22,-108.6094840426716,-14.039719350381391
0.225,-108.6187399035065,-14.086058359192462
0.23,-108.62746087113881,-14.133429586173822
0.235,-108.6355990849149,-14.181201082696957
0.24,-108.64315563206208,-14.228836025730773
0.245,-108.65051113275291,-14.27448693062103
0.25,-108.65694817549452,-14.320284031348116
0.255,-108.66289578472689,-14.364092885455795
0.26,-108.66792758612671,-14.406974466012544
0.265,-108.6717198124512,-14.447951781467026
0.27,-108.67433744818473,-14.48662147273976
0.275,-108.67563532582635,-14.522679804751814
0.28,-108.67538911413412,-14.556258560782526
0.285,-108.67327914561844,-14.588771951799309
0.29,-108.66953718090801,-14.620453466669408
0.295,-108.66539665677385,-14.646429932727527
0.3,-108.66047801762008,-14.669939137919037
0.305,-108.65560642369945,-14.688071863462083
0.31,-108.64981965616226,-14.702744096128736
0.315,-108.64270817005843,-14.71423015243805
0.32,-108.63507128134063,-14.722819499875138
0.325,-108.62729937257713,-14.727548531110276
0.33,-108.6198321819273,-14.728199322747685
0.335,-108.61273335749185,-14.724983055108554
0.34,-108.60615902964751,-14.71724669188402
0.345,-108.59972513533508,-14.706078479693481
0.35,-108.59293542322382,-14.692212396656496
0.355,-108.58593290901058,-14.678177018731738
0.36,-108.58047944460597,-14.657206813291072
0.365,-108.57583091349538,-14.632732514892469
0.37,-108.57272934834103,-14.600665346893196
0.375,-108.57043185575908,-14.564021352691741
0.38,-108.57045330584856,-14.519358914131413
0.385,-108.57144995356425,-14.470534335998272
0.39,-108.57422670954968,-14.415773471652537
0.395,-108.57758979818136,-14.358075516998976
0.4,-108.58156128111413,-14.298097372533645
0.405,-108.5872713311719,-14.23330786201246
0.41,-108.59420870234678,-14.164314768171149
0.415,-108.60135604430242,-14.095068153298785
0.42,-108.60998430315314,-14.022565568868789
0.425,-108.62000557203807,-13.944033099277178
0.43,-108.6307875150039,-13.865183449228482
0.435,-108.64294316971863,-13.78432456907265
0.44,-108.65551022673013,-13.701178833042388
0.445,-108.66938197920469,-13.614743205961368
0.45,-108.68323103580846,-13.525689881990271
0.455,-108.6989938163924,-13.433069691272479
0.46,-108.71549543590812,-13.335178078778426
0.465,-108.7316842057557,-13.237103080477219
0.47,-108.74780241907875,-13.138654966137144
0.475,-108.76402772429518,-13.036834936238398
0.48,-108.78025719721643,-12.934593965887995
0.485,-108.79590939771927,-12.833463072776034
0.49,-108.81077768465667,-12.734968420575534
0.495,-108.82392828829435,-12.640532145688223
0.5,-108.83566191759515,-12.550741679312996
0.505,-108.84627991573778,-12.466321866859714
0.51,-108.854180004075,-12.389578817187013
0.515,-108.85983972456697,-12.319620969897155
0.52,-108.86303619560823,-12.258549394097024
0.525,-108.86377693718791,-12.205696095041557
0.53,-108.86194602369041,-12.163062241500143
0.535,-108.8580790731366,-12.129646136945112
0.54,-108.85307633241767,-12.104802138213543
0.545,-108.84728793403944,-12.087143869623091
0.55,-108.83970105777951,-12.082496901401838
0.555,-108.83097130172615,-12.08657295068948
0.56,-108.82033776529272,-12.103644830007243
0.565,-108.80939590930502,-12.130353618428272
0.57,-108.79692212733941,-12.168129119572122
0.575,-108.78455203968171,-12.214174273482744
0.58,-108.77058730661868,-12.270669761489266
0.585,-108.75686520645786,-12.334139178690108
0.59,-108.74355826858837,-12.404262868920915
0.595,-108.72982203447208,-12.481175050397276
0.6,-108.71630963328519,-12.563562887041368
0.605,-108.70346032752515,-12.650914317424839
0.61,-108.69192831094493,-12.738728587283726
0.615,-108.68109461142741,-12.832273718543776
0.62,-108.67156048834421,-12.928082513759977
0.625,-108.66290806133567,-13.029074916758908
0.63,-108.65519071779447,-13.132390751772153
0.635,-108.64683888649591,-13.241999630795462
0.64,-108.63862642415248,-13.356622446714278
0.645,-108.6310268862241,-13.4754358671768
0.65,-108.62347138100316,-13.597367127227988
0.655,-108.61746175451106,-13.71961909669502
0.66,-108.6112180117309,-13.845329214704485
0.665,-108.60586049513937,-13.973089059774587
0.67,-108.60152399827646,-14.098452624068226
0.675,-108.59699809735007,-14.223396022559694
0.68,-108.5920771251876,-14.35048577997209
0.685,-108.58728415139434,-14.473517837323332
0.69,-108.58199141543203,-14.593003189199928
0.695,-108.57716211012499,-14.708500987564557
0.7,-108.57156846134471,-14.82053991709863
0.705,-108.56679727739944,-14.92777959863162
0.71,-108.56009112323967,-15.032809771455465
0.715,-108.55221912160881,-15.138469659561647
0.72,-108.54410367165528,-15.239985077804414
0.725,-108.53468481732108,-15.338817049083492
0.73,-108.52279594101584,-15.4383061269788
0.735,-108.50833348433505,-15.538448970531311
0.74,-108.4911332759498,-15.638455088450177
0.745,-108.47075195360955,-15.73842974246272
0.75,-108.44766085301838,-15.838187510475585
0.755,-108.42133072096554,-15.938612093138834
0.76,-108.39064162268474,-16.03925527418484
0.765,-108.35728585018704,-16.13878966907487
0.77,-108.32014804412124,-16.239784511540154
0.775,-108.27956254954606,-16.339339787990355
0.78,-108.23550621757929,-16.4378583863731
0.785,-108.18809345624835,-16.53292220661818
0.79,-108.13710052322608,-16.62395603071385
0.795,-108.0829051394122,-16.709110432852068
0.8,-108.02587777752402,-16.78935268748977
0.805,-107.96667025300478,-16.86190327527205
0.81,-107.90491340687012,-16.925545301139
0.815,-107.84125891865975,-16.979184577226793
0.82,-107.7749573942764,-17.02176843643085
0.825,-107.70754603728078,-17.052353015923025
0.83,-107.63787929511221,-17.070367600624827
0.835,-107.56733593059661,-17.07537836417553
0.84,-107.4952188724526,-17.067128066320542
0.845,-107.42157256109786,-17.046658914131363
0.85,-107.3470975333509,-17.014102539128533
0.855,-107.27147221907427,-16.970065482796567
0.86,-107.19493895671269,-16.914585161611488
0.865,-107.11813352510612,-16.844099986409333
0.87,-107.03897807424651,-16.76734285940759
0.875,-106.9585794015699,-16.683305825726194
0.88,-106.87653625223471,-16.59189418786351
0.885,-106.79459011528935,-16.4893653763389
0.89,-106.71156223243808,-16.3838648078096
0.895,-106.62850766721577,-16.268491449409638
0.9,-106.54352007972795,-16.152118143105987
0.905,-106.45905214160932,-16.02770139300973
0.91,-106.37386212598044,-15.89775710435087
0.915,-106.28791342952071,-15.77066568438666
0.92,-106.2007698702102,-15.64520540442562
0.925,-106.11414654918367,-15.518744682778472
0.93,-106.0282842872978,-15.388285426623185
0.935,-105.94262832680039,-15.259722405943215
0.94,-105.85760413599199,-15.13335529230531
0.945,-105.77362522367235,-15.008037774354737
0.95,-105.69090466375026,-14.883227323381899
0.955,-105.60925735577047,-14.759976765045359
0.96,-105.52869374164557,-14.64233630659783
0.965,-105.44995628439852,-14.531005606015713
0.97,-105.37226573648125,-14.427793263720305
0.975,-105.2951477496639,-14.33597409680826
0.98,-105.21925459240099,-14.255281868218711
0.985,-105.14541135699362,-14.18662386010981
0.99,-105.07243255792682,-14.133947622822442
0.995,-105.00132372193958,-14.090920911005641
1.0,-104.93290744977035,-14.05880691295359
1.005,-104.86617803347553,-14.04236327436608
1.01,-104.80133373349136,-14.03944866474865
1.015,-104.73905635461531,-14.0471754898183
1.02,-104.67908147409709,-14.059378144465065
1.025,-104.6228247751911,-14.075620827198534
1.03,-104.56952388502371,-14.09684260798632
1.035,-104.51758968492857,-14.129552735056015
1.04,-104.46969525923375,-14.164453500645271
1.045,-104.42433328048001,-14.205725615528957
1.05,-104.38200638745863,-14.249877748080092
1.055,-104.34260422659429,-14.29495163197327
1.06,-104.30562298126597,-14.338694237694805
1.065,-104.27245045187686,-14.377615771591381
1.07,-104.24109495118604,-14.415594987428658
1.075,-104.2122987157107,-14.453826752587549
1.08,-104.18503372669622,-14.489088921606102
1.085,-104.1599775079823,-14.520314571111182
1.09,-104.13631207954681,-14.5473837686015
1.095,-104.11430650750668,-14.570905519943548
1.1,-104.0939909624207,-14.587322018618487
1.105,-104.07485838863649,-14.598134181974395
1.11,-104.05701524383139,-14.601814210967126
1.115,-104.04039894448145,-14.59673456703408
1.12,-104.0241913520105,-14.588628086706102
1.125,-104.0097535618001,-14.569664286846535
1.13,-103.99675170445336,-14.540373009580913
1.135,-103.98473781965419,-14.5014951323923
1.14,-103.97203898162839,-14.459288951051839
1.145,-103.96220036693724,-14.403799420145141
1.15,-103.95294962513108,-14.34261449409925
1.155,-103.94536748284018,-14.26801992570586
1.16,-103.93779575981137,-14.188102527803302
1.165,-103.93063432920138,-14.102507687603072
1.17,-103.92502382839729,-14.003489567147344
1.175,-103.92112931210022,-13.89202529615593
1.18,-103.91803803030446,-13.770938725678686
1.185,-103.9155179052733,-13.64514252644428
1.19,-103.91439323653792,-13.510245289813778
1.195,-103.9146878524975,-13.367589179822618
1.2,-103.89399064531274,-13.052509834877098
1.205,-103.88264556388394,-12.708623382182818
1.21,-103.87549774626632,-12.38096385875081
1.215,-103.87128165983175,-12.089173034496584
1.22,-103.86910104418929,-11.841197456340801
1.225,-103.87081016557367,-11.641597084871462
1.23,-103.87780991641742,-11.491292600058673
1.235,-103.8897502548169,-11.389405202835635
1.24,-103.90781089039189,-11.33639997508416
1.245,-103.93312933475076,-11.325341391650783
1.25,-103.96308688758323,-11.362093293166105
1.255,-103.99785884164785,-11.444160137262234
1.26,-104.04013909714631,-11.563775843167235
1.265,-104.08986966862017,-11.718433624770439
1.27,-104.14547110919641,-11.908283992842192
1.275,-104.20513069378495,-12.136371646016665
1.28,-104.26936573874633,-12.399214394436784
1.285,-104.33774198735898,-12.693636324718323
1.29,-104.4111425173823,-13.007823968832568
