Time (s),Elbow Flexion Angle Z (deg) (Smoothed),Shoulder Angle Z (deg) (Smoothed)
0.005,-119.26306751599199,-45.54450554148442
0.01,-119.3806060496251,-45.56130578413978
0.015,-119.48992483714979,-45.57608078431887
0.02,-119.59130234250769,-45.58888984607355
0.025,-119.6850170296404,-45.59979227345573
0.03,-119.77134736248956,-45.6088473705173
0.035,-119.85057180499678,-45.616114441310145
0.04,-119.92296882110365,-45.621652789886156
0.045,-119.98881687475182,-45.625521720297215
0.05,-120.04839442988289,-45.627780536595225
0.055,-120.10197995043848,-45.62848854283207
0.06,-120.14985190036019,-45.62770504305964
0.065,-120.19228874358966,-45.62548934132983
0.07,-120.2295689440685,-45.621900741694525
0.075,-120.26197096573831,-45.61699854820562
0.08,-120.28977327254073,-45.610842064915
0.085,-120.31325432841736,-45.60349059587455
0.09,-120.33269259730982,-45.59500344513617
0.095,-120.34836654315973,-45.585439916751746
0.1,-120.36055462990869,-45.57485931477317
0.105,-120.36953532149833,-45.56332094325233
0.11,-120.37558708187028,-45.55088410624112
0.115,-120.37898837496613,-45.53760810779142
0.12,-120.3800176647275,-45.52355225195513
0.125,-120.37895341509602,-45.50877584278415
0.13,-120.37607409001103,-45.49333818432947
0.135,-120.3581679766223,-45.47865548709963
0.14,-120.3485779292826,-45.46326946023605
0.145,-120.34358427144213,-45.44726339894361
0.15,-120.34226507961446,-45.43059510294597
0.155,-120.34374314253773,-45.41337114317338
0.16,-120.34689023533711,-45.395656218713036
0.165,-120.35071050306685,-45.37719599990852
0.17,-120.35556044304283,-45.35876524269999
0.175,-120.35994378128379,-45.339723144351204
0.18,-120.36470783029964,-45.320990199097636
0.185,-120.36918011732766,-45.30184036557932
0.19,-120.37335839996146,-45.28265480531748
0.195,-120.3772449659086,-45.26346273981204
0.2,-120.38082953181039,-45.24448471765978
0.205,-120.38387059729322,-45.22547105030605
0.21,-120.38634539853447,-45.207179299643514
0.215,-120.38807474687759,-45.189186203537155
0.22,-120.38931570363764,-45.17117223946096
0.225,-120.38985123105616,-45.153290566036866
0.23,-120.38940066592444,-45.135846628461834
0.235,-120.38848789326822,-45.1185856168874
0.24,-120.38641500373502,-45.10107028245174
0.245,-120.38399782554299,-45.08394521733136
0.25,-120.38169437586124,-45.06747203334077
0.255,-120.37879927064935,-45.050784072118546
0.26,-120.37561892681369,-45.03416959840454
0.265,-120.37196022559736,-45.01765980429822
0.27,-120.36855179052523,-45.00143404380534
0.275,-120.36504278692378,-44.985445618246445
0.28,-120.361492378081,-44.969785671248765
0.285,-120.35782235157983,-44.95466570930172
0.29,-120.35381997327002,-44.94010665926662
0.295,-120.34964345738064,-44.926141495842764
0.3,-120.3451793245577,-44.912812518968984
0.305,-120.34062021789616,-44.900141126638474
0.31,-120.33590217218733,-44.888168733152774
0.315,-120.3312826564565,-44.87692559061274
0.32,-120.32757740831953,-44.86668698271676
0.325,-120.32429697161655,-44.85785412806546
0.33,-120.32154916305915,-44.849942426781176
0.335,-120.31898661351102,-44.84241813857533
0.34,-120.31660080635797,-44.8347664839512
0.345,-120.31409316179071,-44.82670486081139
0.35,-120.31193073455565,-44.81922384198877
0.355,-120.30953061224261,-44.81222162902811
0.36,-120.30793349792516,-44.804870232620495
0.365,-120.30624800108491,-44.797489714375466
0.37,-120.3047990667942,-44.78957001970513
0.375,-120.30362309451853,-44.78128642551274
0.38,-120.30267795419826,-44.77310586423163
0.385,-120.30166807854987,-44.7637133185341
0.39,-120.30072438786605,-44.75322453056609
0.395,-120.299481483157,-44.741563659425175
0.4,-120.2979988674692,-44.728851899249406
0.405,-120.2962739133366,-44.71515799225264
