Time (s),Elbow Flexion Angle Z (deg) (Smoothed),Shoulder Angle Z (deg) (Smoothed)
0.005,-136.06788451578007,-27.429148305617964
0.01,-136.12197962377974,-27.449178898216886
0.015,-136.17343380324544,-27.463219005073373
0.02,-136.22230903882593,-27.47149192989465
0.025,-136.26866731516986,-27.47422097638795
0.03,-136.312570616926,-27.471629448260497
0.035,-136.35408092874303,-27.463940649219516
0.04,-136.3932602352697,-27.451377882972235
0.045,-136.43017052115476,-27.434164453225883
0.05,-136.46487377104688,-27.412523663687686
0.055,-136.49743196959483,-27.38667881806487
0.06,-136.52790710144725,-27.356853220064664
0.065,-136.55636115125296,-27.323270173394295
0.07,-136.58285610366065,-27.286152981760992
0.075,-136.607453943319,-27.245724948871977
0.08,-136.63021665487676,-27.202209378434482
0.085,-136.65120622298267,-27.15582957415573
0.09,-136.67048463228542,-27.106808839742953
0.095,-136.68811386743377,-27.055370478903374
0.1,-136.7041559130764,-27.00173779534422
0.105,-136.71867275386205,-26.946134092772724
0.11,-136.73172637443946,-26.888782674896106
0.115,-136.7433787594573,-26.829906845421593
0.12,-136.75369189356437,-26.76972990805642
0.125,-136.7627277614093,-26.708475166507807
0.13,-136.7705483476383,-26.646365924482488
0.135,-136.76972835171543,-26.5837482547731
0.14,-136.77307934494286,-26.520500129107738
0.145,-136.7774084350695,-26.456896319281924
0.15,-136.78182563591213,-26.393829137692308
0.155,-136.78641819746505,-26.33140575097913
0.16,-136.79124573602763,-26.270010283358125
0.165,-136.7958093954537,-26.210042184420438
0.17,-136.80031069786145,-26.151803089537204
0.175,-136.80459247094802,-26.09554061473596
0.18,-136.80871689052717,-26.041422356111756
0.185,-136.81260300346293,-25.989586119730415
0.19,-136.81580454823174,-25.940162429499605
0.195,-136.81841962445094,-25.89299788670135
0.2,-136.82050861853915,-25.84793201884478
0.205,-136.82097843665505,-25.80656212824703
0.21,-136.82002810935433,-25.768100643275684
0.215,-136.81796552583035,-25.73189509162106
0.22,-136.81473462592322,-25.698326245214574
0.225,-136.8094162042149,-25.666838091462505
0.23,-136.80266370698962,-25.63679868400141
0.235,-136.79469553104,-25.608308729529053
0.24,-136.7843676866947,-25.58247178871499
0.245,-136.77231262315985,-25.55822674579216
0.25,-136.7582904935533,-25.535028406078922
0.255,-136.74234501347448,-25.513240596615514
0.26,-136.72442252372386,-25.49157523386664
0.265,-136.70521287005107,-25.4705126435475
0.27,-136.6838605177894,-25.45026871050258
0.275,-136.66081727785192,-25.43106571836233
0.28,-136.63633540963295,-25.412853801897633
0.285,-136.61004301342916,-25.395660909646395
0.29,-136.58206858592231,-25.379727633694504
0.295,-136.55220344741412,-25.36509730231667
0.3,-136.52036879657263,-25.35167225078662
0.305,-136.48603809825553,-25.339669503272518
0.31,-136.4495615982216,-25.32869953113272
0.315,-136.4106745566125,-25.318289005413
0.32,-136.36945289813778,-25.308587308885336
0.325,-136.32677820561926,-25.298806047701618
0.33,-136.2823763392123,-25.28827843212708
0.335,-136.2376742395045,-25.277074017531056
0.34,-136.1913093614778,-25.264543443792128
0.345,-136.14342064372656,-25.249915049037998
0.35,-136.09466658361197,-25.23356249971638
0.355,-136.0973671657316,-25.04105992661167
0.36,-136.10478642777605,-24.795562594848786
0.365,-136.1032342068877,-24.560086230718227
0.37,-136.08774366350053,-24.36305685066433
0.375,-136.0574254909485,-24.21399214931209
0.38,-136.01284980406996,-24.115775802395973
0.385,-135.95481587351662,-24.067790502615683
0.39,-135.88431436725372,-24.067793245599674
0.395,-135.80294837934915,-24.116110858682635
0.4,-135.7117258375022,-24.209488296450193
0.405,-135.61146315884585,-24.34512892704205
0.41,-135.50284407347584,-24.5204342771066
0.415,-135.38655061269532,-24.73241091983916
0.42,-135.2634104736208,-24.97851067068289
0.425,-135.13393084780822,-25.255771630161018
0.43,-134.9993550250263,-25.56073318308406
0.435,-134.85942173095395,-25.89116841604517
0.44,-134.71398475616402,-26.245014836122625
0.445,-134.5647767106817,-26.6210157580008
0.45,-134.41229167138297,-27.01602729620099
0.455,-134.25697614894756,-27.427271428570904
0.46,-134.09929810414474,-27.851934795804578
0.465,-133.93976314299047,-28.287068130647945
0.47,-133.7788281501254,-28.730024587192815
0.475,-133.61693055335084,-29.178079306439
0.48,-133.45563140727734,-29.628117782961674
0.485,-133.29468214455338,-30.078437054066335
0.49,-133.13440698543315,-30.526266173638685
0.495,-132.9758482185301,-30.969306029581055
0.5,-132.81999191374408,-31.405161659380134
0.505,-132.66757213073652,-31.83095555278654
0.51,-132.51874826156623,-32.244878921379254
0.515,-132.37449040748123,-32.645212790776064
0.52,-132.2346201046431,-33.02940524813636
0.525,-132.10037291897638,-33.39543697025916
0.53,-131.97194335092274,-33.74045526059416
0.535,-131.84953228838452,-34.06201661419219
0.54,-131.73369399080136,-34.356985179731616
0.545,-131.62478377765947,-34.622663598268836
0.55,-131.52374601915986,-34.85702242632835
0.555,-131.4308166889372,-35.05642316473692
0.56,-131.3474240413121,-35.2176532197778
0.565,-131.2732211375091,-35.33845593105099
0.57,-131.20962400054108,-35.415218775056516
0.575,-131.1576918616478,-35.44374748691861
0.58,-131.1180971256402,-35.41941927110399
0.585,-131.091081292892,-35.33927676051485
0.59,-131.0765120161247,-35.20295825046932
0.595,-131.07660624249448,-35.00510629912275
0.6,-131.0920718929056,-34.7428267661775
0.605,-131.12236229585923,-34.41255637726723
0.61,-131.10392110806336,-34.222841740469114
0.615,-131.06967634600758,-34.10383451493739
0.62,-131.02927663140474,-34.01655191510501
0.625,-130.98715524700194,-33.94221461641195
0.63,-130.9439450497155,-33.874754938956066
0.635,-130.9019355817774,-33.80745978391291
0.64,-130.86118322045547,-33.73955720627809
0.645,-130.8217265849711,-33.67325370450002
0.65,-130.7820594124417,-33.60710725271176
0.655,-130.74356243629276,-33.53827197444951
0.66,-130.70504906113138,-33.470446884413505
0.665,-130.66715891639424,-33.40041229019845
0.67,-130.62985093659853,-33.331559971912654
0.675,-130.5928031891977,-33.263040118688345
0.68,-130.55652386237261,-33.194562692246066
0.685,-130.51980771931164,-33.12737983646225
0.69,-130.4825424811409,-33.062451446238235
0.695,-130.44599766698883,-32.99932603003402
0.7,-130.41099771228997,-32.936277186345606
0.705,-130.37703565199416,-32.87385663548375
0.71,-130.3442788738112,-32.812340496952864
