Time (s),Elbow Flexion Angle Z (deg) (Smoothed),Shoulder Angle Z (deg) (Smoothed)
0.005,-125.64191337576788,-30.509909694198566
0.01,-125.73727042444126,-30.510029271116903
0.015,-125.8271769533615,-30.524505492366895
0.02,-125.91178482829345,-30.552642936687313
0.025,-125.99124591500197,-30.593746182816925
0.03,-126.06571207925191,-30.647119809494498
0.035,-126.13533518680812,-30.712068395458797
0.04,-126.20026710343544,-30.787896519448598
0.045,-126.26065969489873,-30.873908760202667
0.05,-126.31666482696286,-30.96940969645977
0.055,-126.36843436539264,-31.073703906958677
0.06,-126.41612017595297,-31.18609597043816
0.065,-126.45987412440867,-31.30589046563698
0.07,-126.49984807652459,-31.432391971293914
0.075,-126.53619389806559,-31.564905066147723
0.08,-126.56906345479652,-31.70273432893718
0.085,-126.59860861248224,-31.845184338401054
0.09,-126.62498123688759,-31.99155967327811
0.095,-126.64833319377743,-32.14116491230712
0.1,-126.6688163489166,-32.29330463422685
0.105,-126.68658256806995,-32.44728341777607
0.11,-126.70178371700236,-32.602405841693546
0.115,-126.71457166147864,-32.75797648471805
0.12,-126.72509826726368,-32.913299925588355
0.125,-126.7335154001223,-33.06768074304322
0.13,-126.73997492581694,-33.220423515820784
0.135,-126.71704620715967,-33.35685203515305
0.14,-126.70675340324566,-33.49227898253577
0.145,-126.70368882647155,-33.624041294252905
0.15,-126.70355733991468,-33.75120208611682
0.155,-126.70568241636032,-33.87208103014726
0.16,-126.70951011347692,-33.98606242949945
0.165,-126.71445375885963,-34.092676047021925
0.17,-126.72031647375687,-34.191604591269815
0.175,-126.72678699404044,-34.282027674465354
0.18,-126.73335237490981,-34.363462406848875
0.185,-126.74003071417005,-34.43670234206824
0.19,-126.74631957688493,-34.50235091621488
0.195,-126.75232564723758,-34.56027563931167
0.2,-126.75803286597416,-34.611063960677946
0.205,-126.76363738702783,-34.65583170173664
0.21,-126.76823789893074,-34.694529891956115
0.215,-126.77210677478294,-34.72836159822352
0.22,-126.77505884617754,-34.756314539399995
0.225,-126.77758023964059,-34.78069503952458
0.23,-126.7795899340844,-34.80069918004871
0.235,-126.78104842691552,-34.81838091009922
0.24,-126.78177822827001,-34.83244935785568
0.245,-126.78206231171471,-34.84304256041973
0.25,-126.78203232236048,-34.85103600307981
0.255,-126.78180221522328,-34.855532822939836
0.26,-126.7820057079411,-34.85939871344698
0.265,-126.56060787333557,-34.857464067135616
0.27,-126.59615094339381,-34.90846346010035
0.275,-126.63258689890806,-34.945314827062234
0.28,-126.65682550000889,-34.97344091825343
0.285,-126.6729991619265,-34.99766138530817
0.29,-126.68346207161866,-35.01941345443771
0.295,-126.6908752180093,-35.03946596978347
0.3,-126.69663398944242,-35.05748227366351
0.305,-126.70045964800772,-35.075135443610726
0.31,-126.70357403338451,-35.09174579945118
0.315,-126.70661145212559,-35.1069748737224
0.32,-126.7090617227999,-35.12271943192304
0.325,-126.71133230650506,-35.13864127160231
0.33,-126.712992661213,-35.157187621463
0.335,-126.7143034043782,-35.17758635756122
0.34,-126.71527176153236,-35.198258225553694
0.345,-126.71548782531639,-35.222603764523996
0.35,-126.71540361049837,-35.248881913519455
0.355,-126.71510369430547,-35.27655132619017
0.36,-126.71476343744801,-35.3053419873603
0.365,-126.71444100658887,-35.33499750390654
0.37,-126.71509216516554,-35.363937432330744
0.375,-126.7163022718497,-35.39207273550862
0.38,-126.71824190808155,-35.4194553670518
0.385,-126.72120514620698,-35.444769168043905
0.39,-126.7242588280571,-35.46943163151985
0.395,-126.72838673582396,-35.49152022695803
0.4,-126.73322381027641,-35.511670123897936
0.405,-126.73781385761608,-35.530963913111734
0.41,-126.74253890235096,-35.5488903372663
0.415,-126.74780767401056,-35.56329981426465
0.42,-126.75279664318315,-35.576125312010916
0.425,-126.75747915014819,-35.586283215927196
0.43,-126.76184239733385,-35.593664033159754
0.435,-126.76621624498614,-35.59791108971822
0.44,-126.76971983510141,-35.599005236811024
0.445,-126.77241661192538,-35.59668789100477
0.45,-126.77468379804507,-35.590284654238374
0.455,-126.77568588189749,-35.5804150807486
0.46,-126.77572715123543,-35.566001497201974
0.465,-126.77430829690124,-35.54894347550273
0.47,-126.77189682665278,-35.52751991211511
0.475,-126.76805741919166,-35.50294812113457
0.48,-126.76278010826732,-35.474947926339674
0.485,-126.75537454981752,-35.4438255181311
0.49,-126.74580323449891,-35.41023727377675
0.495,-126.73406974110156,-35.37544504745227
0.5,-126.7200782124146,-35.33845556184671
0.505,-126.70356230038941,-35.299461953837465
0.51,-126.68423588303003,-35.25932634034679
0.515,-126.66216679879255,-35.21659684024485
0.52,-126.63726272395509,-35.17357049536728
0.525,-126.60946524269843,-35.129920192982176
0.53,-126.57969519128163,-35.084538770979414
0.535,-126.54797875376323,-35.03750371469275
0.54,-126.5139515277785,-34.9888175813715
0.545,-126.47782828602897,-34.93778007882331
0.55,-126.43978740175075,-34.886374343699075
0.555,-126.4003763392125,-34.83237663820179
0.56,-126.35990350857082,-34.77639313687673
0.565,-126.31879856848158,-34.71823229518156
0.57,-126.27675326734226,-34.65972357018213
0.575,-126.234263992387,-34.59988416498608
0.58,-126.191758544925,-34.539219336790666
0.585,-126.14993116491638,-34.475151631972885
0.59,-126.10872250786865,-34.40882749779091
0.595,-126.06833984914478,-34.3420909963979
0.6,-126.0294944619333,-34.271167433010284
0.605,-125.99214231352676,-34.19684213232397
0.61,-125.95649294434511,-34.118948925229816
0.615,-125.92259281070677,-34.037082921469825
0.62,-125.89059299191132,-33.95084340075588
0.625,-125.86053962716923,-33.85983943237608
0.63,-125.83246469908477,-33.76375503861858
0.635,-125.80635294117405,-33.66230055267325
0.64,-125.78140345194441,-33.556371657341536
0.645,-125.75899295567042,-33.44417183628104
0.65,-125.73751067974119,-33.327723377652305
0.655,-125.71710124804396,-33.20571483838755
0.66,-125.69981761761068,-33.07578930893048
0.665,-125.68477324514471,-32.93846130376616
0.67,-125.67134822985558,-32.796164909736845
0.675,-125.65985997417596,-32.646825928106466
0.68,-125.64895716777035,-32.49147149652251
0.685,-125.6391149742892,-32.33003931459314
0.69,-125.62981659833504,-32.163744954584985
0.695,-125.62117368456575,-31.992197442750072
0.7,-125.61281666628675,-31.817181779881153
0.705,-125.60441957914999,-31.63980343609081
0.71,-125.59624041314399,-31.459832213639572
0.715,-125.5873947314751,-31.28009353326176
0.72,-125.57840716663785,-31.100815311784494
0.725,-125.56827753742766,-30.9235741987355
0.73,-125.55710215406677,-30.74978422840775
0.735,-125.54409064757739,-30.58037488278272
0.74,-125.52919067249302,-30.41585562753345
0.745,-125.51230159233263,-30.256890389362713
0.75,-125.49353199392725,-30.104195549162487
0.755,-125.472090036012,-29.958096448390105
0.76,-125.44819649368941,-29.819175609866022
0.765,-125.42211843982636,-29.686956538086363
0.77,-125.39365777254056,-29.56300418355965
0.775,-125.36315257423485,-29.44671116673028
0.78,-125.3311668440937,-29.338141312373445
0.785,-125.29720202042844,-29.238372894062728
0.79,-125.26215257423482,-29.147353656933916
0.795,-125.22594147092558,-29.064434240865598
0.8,-125.18959614034054,-28.990230609979285
0.805,-125.15348279688995,-28.92449161928867
0.81,-125.1170604770186,-28.867342700853374
0.815,-125.08166400144724,-28.81922725996003
0.82,-125.04763392149073,-28.780191071144888
0.825,-125.0156862216561,-28.75044764547273
0.83,-124.98618401322554,-28.729586174091725
0.835,-124.9588654556138,-28.71822510362581
0.84,-124.93423445604418,-28.716090658904523
0.845,-124.9121288590884,-28.72314814831538
0.85,-124.89295845885286,-28.739235885296967
0.855,-124.8764259439601,-28.764039831026203
0.86,-124.86259532492001,-28.79721802758784
0.865,-124.85163061450758,-28.83819290131092
0.87,-124.84343357720206,-28.886744524224227
0.875,-124.83772189630326,-28.942543663502583
0.88,-124.83454125801025,-29.0048603841531
0.885,-124.83386753946621,-29.073444322634163
0.89,-124.83561836054935,-29.147922462569376
0.895,-124.840030034653,-29.227827726561767
0.9,-124.84686189947436,-29.313260848489776
0.905,-124.85707875602832,-29.40326471947213
0.91,-124.86998217399928,-29.497724879385153
0.915,-124.8840156741918,-29.596567331082802
0.92,-124.89888695100441,-29.699255507485443
0.925,-124.91417696889836,-29.804855006907854
0.93,-124.92964916532411,-29.913094260345076
0.935,-124.94496081451209,-30.023133744818104
0.94,-124.96138521823582,-30.13496640240944
0.945,-124.9774050374843,-30.249245076898102
0.95,-124.99341409771215,-30.365698985253896
0.955,-125.00960026274421,-30.48312096083658
0.96,-125.02524016398772,-30.602116738770395
0.965,-125.04008724999193,-30.72288821717307
0.97,-125.05454685270092,-30.84473562028526
0.975,-125.06773430881546,-30.96776967541674
0.98,-125.07987913655788,-31.09169846429078
0.985,-125.09039923893846,-31.215807515458412
0.99,-125.09960311671598,-31.33956328342598
0.995,-125.10757131531618,-31.462692987383033
1.0,-125.11412666198315,-31.584689245508926
1.005,-125.11914992411818,-31.704854934425995
1.01,-125.12363940292857,-31.822748873133545
1.015,-125.1272707875579,-31.937780919159508
1.02,-125.13052821128211,-32.04931201159648
1.025,-125.13328557837988,-32.15687013295823
1.03,-125.13593961357888,-32.259866329927576
1.035,-125.13850087204452,-32.35797199936516
1.04,-125.14121687920209,-32.450657416928415
1.045,-125.34275150059784,-32.53982414324158
1.05,-125.45364825930133,-32.601932023374765
1.055,-125.23683533035616,-32.61892675485226
1.06,-125.08811132754748,-32.67424098167507
1.065,-125.00592013408897,-32.74934322634651
1.07,-124.96849475639073,-32.82977456114458
1.075,-124.96067403564962,-32.9090881605466
1.08,-124.97109785045855,-32.98349269066053
1.085,-124.99358245939646,-33.051928555572545
1.09,-125.02414847448175,-33.11312688622556
1.095,-125.05886083489759,-33.166870121632925
1.1,-125.09763038800186,-33.212312253957556
1.105,-125.13799388434379,-33.24831725067322
1.11,-125.17984282769473,-33.27506881469505
1.115,-125.22154576547362,-33.292654119005455
1.12,-125.26322616593566,-33.301201463226164
1.125,-125.30451428118175,-33.30068131327939
1.13,-125.34475193095865,-33.29122490430071
1.135,-125.38394606899125,-33.27348520464726
1.14,-125.42202727128345,-33.2476164782888
1.145,-125.45888439149006,-33.21389484019959
1.15,-125.49448220797514,-33.17270980769602
1.155,-125.5281541144736,-33.12423706086145
1.16,-125.55909791841025,-33.06871313279965
1.165,-125.58792113071405,-33.006678959885214
1.17,-125.61438433486362,-32.93890484269116
1.175,-125.6386413961787,-32.865958105505726
1.18,-125.66060327526998,-32.78850380076496
1.185,-125.68037201295373,-32.707110061382416
1.19,-125.699399420143,-32.62239610410139
1.195,-125.71585503635175,-32.5354134363173
1.2,-125.73074151169662,-32.44583908129227
1.205,-125.74401891322324,-32.354589660014334
1.21,-125.75536496862657,-32.26370302838055
1.215,-125.76603991030133,-32.171092788058004
1.22,-125.7758243221793,-32.07785555731665
1.225,-125.78411062537981,-31.98445508844986
1.23,-125.79159389793412,-31.89107247049702
1.235,-125.79825037939463,-31.798248642097736
1.24,-125.80411241477482,-31.706299655710733
