Time (s),Elbow Flexion Angle Z (deg) (Smoothed),Shoulder Angle Z (deg) (Smoothed)
0.005,-122.32877146317318,-43.74817266980971
0.01,-122.36804408713327,-43.41865360419411
0.015,-122.40227903130929,-43.11633845886555
0.02,-122.43170374164498,-42.84016936812782
0.025,-122.456545664084,-42.58908846628474
0.03,-122.4770322445701,-42.362037887640135
0.035,-122.49339092904695,-42.15795976649779
0.04,-122.50584916345828,-41.97579623716153
0.045,-122.51463439374778,-41.81448943393516
0.05,-122.51997406585917,-41.67298149112249
0.055,-122.52209562573616,-41.55021454302734
0.06,-122.52122651932243,-41.44513072395351
0.065,-122.51759419256169,-41.35667216820481
0.07,-122.51142609139767,-41.28378101008506
0.075,-122.50294966177405,-41.22539938389806
0.08,-122.49239234963456,-41.18046942394762
0.085,-122.47998160092288,-41.147933264537556
0.09,-122.46594486158274,-41.126733039971676
0.095,-122.45050957755782,-41.115810884553795
0.1,-122.43390319479185,-41.11410893258771
0.105,-122.41635315922852,-41.12056931837725
0.11,-122.39808691681154,-41.134134176226205
0.115,-122.37933191348462,-41.1537456404384
0.12,-122.36031559519145,-41.178345845317644
0.125,-122.34126540787577,-41.20687692516774
0.13,-122.32240879747891,-41.23828101429172
0.135,-122.28405259462042,-41.25933815488381
0.14,-122.26057242519414,-41.28910722100082
0.145,-122.24552084984701,-41.328882690433865
0.15,-122.23919585947351,-41.37815357539162
0.155,-122.24006969580051,-41.43689786631555
0.16,-122.23784531925743,-41.434592448299284
0.165,-122.23911889283784,-41.42526906158611
0.17,-122.2413757276472,-41.408342195745426
0.175,-122.24525103626122,-41.38472970848638
0.18,-122.25028825114717,-41.353857688735076
0.185,-122.25689073364961,-41.31588006976296
0.19,-122.26534992864836,-41.269910672947624
0.195,-122.27538483317623,-41.21614169969796
0.2,-122.28682821807737,-41.15438587283891
0.205,-122.29969061586665,-41.08425534440113
0.21,-122.31335337153496,-41.00608047067805
0.215,-122.32831778749,-40.92076811932242
0.22,-122.34424059434859,-40.82752176266654
0.225,-122.36170078597243,-40.72574527848798
0.23,-122.3797904595777,-40.616036852476064
0.235,-122.39866030940445,-40.49904057396466
0.24,-122.41749047543311,-40.376011932319315
0.245,-122.43759104396241,-40.24610673401359
0.25,-122.45761052345233,-40.110980380075794
0.255,-122.47843808466547,-39.971135081201524
0.26,-122.49946941040332,-39.826604244715995
0.265,-122.52013730775094,-39.67870211329739
0.27,-122.54042832226995,-39.528758266324644
0.275,-122.56019024213224,-39.37725564565373
0.28,-122.57936252236507,-39.22518811977546
0.285,-122.59633651951111,-39.07357655439459
0.29,-122.61305180185046,-38.92293131441181
0.295,-122.62885252213857,-38.7748916555294
0.3,-122.64295626174763,-38.63011631520459
0.305,-122.6562039457269,-38.48921225622251
0.31,-122.66828478561001,-38.35248546965883
0.315,-122.67867489637132,-38.22083756596905
0.32,-122.68839054111976,-38.095024886180155
0.325,-122.6968148768918,-37.974578112753804
0.33,-122.704191306709,-37.860300015854676
0.335,-122.71021454619348,-37.751682593036485
0.34,-122.71624702711038,-37.64905480758269
0.345,-122.72090869555132,-37.55316729937186
0.35,-122.72523366327428,-37.46349421051368
0.355,-122.7283559310493,-37.38018773471582
0.36,-122.73045425717223,-37.30369770776163
0.365,-122.73171265487092,-37.23269705089511
0.37,-122.73264128292593,-37.166874925818675
0.375,-122.73207023941416,-37.10783330313186
0.38,-122.73088953316942,-37.05378845500393
0.385,-122.72880318919785,-37.00545879861308
0.39,-122.72623923531442,-36.96190886996237
0.395,-122.72351865274177,-36.92268420122696
0.4,-122.7210582799134,-36.88696102969419
0.405,-122.7186954857391,-36.85439181181837
0.41,-122.71614675303847,-36.82401321207657
0.415,-122.7135071915535,-36.796214999206526
0.42,-122.71059756732647,-36.770395619379116
0.425,-122.70831357448405,-36.74567208543725
0.43,-122.70647867448632,-36.72131464132753
0.435,-122.70534977009436,-36.69726027316516
0.44,-122.70469709392955,-36.672987184306976
0.445,-122.70404319463398,-36.64880829237284
0.45,-122.70339371219953,-36.62449453215178
0.455,-122.70289777797676,-36.599683347300484
0.46,-122.70281410677245,-36.5743515232501
0.465,-122.70300761058907,-36.54869490815124
0.47,-122.70357752157231,-36.52144323993679
0.475,-122.70434591949751,-36.49354564542728
0.48,-122.70466420530241,-36.4662037690541
0.485,-122.7042999388411,-36.439858821263655
0.49,-122.70336000815186,-36.41536780674465
0.495,-122.70225801263668,-36.39169795918298
0.5,-122.70030736822798,-36.369286806042474
0.505,-122.69855314955936,-36.34569329090056
0.51,-122.69534046071024,-36.323039337243635
0.515,-122.69081340460477,-36.30397754195949
0.52,-122.68566619855255,-36.285355025028196
0.525,-122.67838145824132,-36.26979748125596
0.53,-122.669788443677,-36.25662167659446
0.535,-122.65922156787009,-36.24498027135313
0.54,-122.64698441640572,-36.2340030057299
0.545,-122.63293066660391,-36.22333330766199
0.55,-122.6171869804502,-36.20986729031166
0.555,-122.59985900020149,-36.19565518811228
0.56,-122.58004219800893,-36.18004717207568
0.565,-122.55836650886536,-36.16025384719856
0.57,-122.53519234863523,-36.135219271103985
0.575,-122.50906389725466,-36.107470950643716
0.58,-122.48113420462289,-36.073911411356306
0.585,-122.45160853020218,-36.033957509795684
0.59,-122.4192243991913,-35.990044075742816
0.595,-122.38450379396805,-35.94111894267072
0.6,-122.3481533896554,-35.886475693673006
0.605,-122.30957847289625,-35.82640202043012
0.61,-122.27029074270983,-35.75856211918661
0.615,-122.22978355115399,-35.68645781784343
0.62,-122.1877203560646,-35.60827886475276
0.625,-122.14334401684968,-35.52809517089787
0.63,-122.0991226301818,-35.441546911594145
0.635,-122.0529875648349,-35.353125835239084
0.64,-122.00656322906288,-35.25975363201817
0.645,-121.95946954630674,-35.16303910394279
0.65,-121.91209597046131,-35.06345871933612
0.655,-121.86397562798471,-34.96405466941427
0.66,-121.81610206346456,-34.86140518471473
0.665,-121.76847543545486,-34.759253029513026
0.67,-121.72093732587142,-34.6558359351281
0.675,-121.67501499467477,-34.55117193594353
0.68,-121.63096011234448,-34.444867682166546
0.685,-121.58687619198388,-34.33815067158873
0.69,-121.54424956397419,-34.23113581734515
0.695,-121.50357303675952,-34.1238340143598
0.7,-121.4640610432829,-34.0164764909731
0.705,-121.42593827719534,-33.91032345919435
0.71,-121.39119069514364,-33.803498946747865
0.715,-121.35674198735866,-33.69903658519947
0.72,-121.32357138326797,-33.59725541235298
0.725,-121.29146290968984,-33.49987150105261
0.73,-121.26065539423084,-33.40742153163088
0.735,-121.23144028177074,-33.320385977031684
0.74,-121.20421520306004,-33.239155242473714
0.745,-121.17868970984388,-33.16303541643009
0.75,-121.15450300119815,-33.09336408299105
0.755,-121.13218641418598,-33.02954224331179
0.76,-121.11091109651176,-32.97450931844373
0.765,-121.09090350857093,-32.927317198576915
0.77,-121.07226831864588,-32.885274400325535
